SL,Name of the Manufacturer,Brand Name,Dosages Description,Generic Name and Strength,DAR
35,A B Laboratories (Ayurvedic),Diamo,Capsule,Jambolan / Syzygium,AY-46-A-044
36,A B Laboratories (Ayurvedic),Flatlo,Capsule,Kurchi,AY-46-A-045
37,A B Laboratories (Ayurvedic),Heparise,Capsule,Kalamegh,AY-46-A-046
38,A B Laboratories (Ayurvedic),Aslab,Capsule,Astragalus,AY-46-A-042
39,A B Laboratories (Ayurvedic),Tinocor,Liquid,Amritarista,AY-46-A-047
40,A B Laboratories (Ayurvedic),AB Digenor,Liquid,Jirakadyarista / Jirakarista,AY-46-A-048
41,A B Laboratories (Ayurvedic),Licum,Capsule,Garlic,AY-46-A-049
42,A B Laboratories (Ayurvedic),Eczemin,Ointment,Dadru Dalan,AY-46-A-050
43,A B Laboratories (Ayurvedic),Tornyl,Ointment,Batrakhashi Taila,AY-46-A-051
44,A B Laboratories (Ayurvedic),Pectin,Capsule,Pomegranate,AY-46-A-052
45,A B Laboratories (Ayurvedic),Helen,Capsule,Water Cress,AY-46-A-053
46,A B Laboratories (Ayurvedic),Edebo,Capsule,Punarnava,AY-46-A-054
47,A B Laboratories (Ayurvedic),Marmel,Semi-Solid,Chyabanprash,AY-46-A-055
48,A B Laboratories (Ayurvedic),Mehonil,Liquid,Mehabajra Rasayan / Mehari,AY-46-A-026
49,A B Laboratories (Ayurvedic),Itchicon,Liquid,Saribadyarista,AY-46-A-027
50,A B Laboratories (Ayurvedic),Urisov,Liquid,Chandanasav,AY-46-A-028
51,A B Laboratories (Ayurvedic),ABton,Liquid,Dasamularista,AY-46-A-029
52,A B Laboratories (Ayurvedic),Dysoton,Liquid,Kutajadi Kwath,AY-46-A-030
53,A B Laboratories (Ayurvedic),AB-Basok,Liquid,Vasakarista / Vasakasav,AY-46-A-031
54,A B Laboratories (Ayurvedic),Vitasov,Liquid,Aravindasav,AY-46-A-032
55,A B Laboratories (Ayurvedic),Pylosafe,Liquid,Abhayarista,AY-46-A-033
56,A H Laboratories (Ay),AH Bico Vit,Liquid,Balarista,AY-18-A-002
57,A H Laboratories (Ay),A-Peptra-H,Liquid,Mustakarista,AY-18-A-001
58,A H Laboratories (Ay),AH-Alkonil,Liquid,Chandanasav,AY-18-A-003
59,A H Laboratories (Ay),AH Adato-V,Liquid,Vasakarista / Vasakasav,AY-18-A-004
60,A H Laboratories (Ay),A Liv-1,Liquid,Kalameghasav,AY-18-A-005
61,A H Laboratories (Ay),A-Card-H,Liquid,Arjunarista,AY-18-A-006
62,A H Laboratories (Ay),AH-Leucocef,Liquid,Patrangasav,AY-18-A-007
63,A H Laboratories (Ay),AH Gastocef,Kwath,Dasanga Kwath,AY-18-A-008
64,A H Laboratories (Ay),AT Plus-30,Liquid,Bhimras,AY-18-A-009
65,A H Laboratories (Ay),AH Vita-10 Plus,Liquid,Dasamularista,AY-18-A-010
66,A H Laboratories (Ay),AH-Cef D Plus,Liquid,Kutajarista,AY-18-A-011
67,A H Laboratories (Ay),AH-Genton,Liquid,Sanjivani Rasayan,AY-18-A-012
68,A H Laboratories (Ay),AH-Vit,Liquid,Louhasav,AY-18-A-013
69,A H Laboratories (Ay),AH Dai-B,Liquid,Jambadyarista,AY-18-A-014
70,A H Laboratories (Ay),AH-Cef-B,Liquid,Saribadi,AY-18-A-015
71,A H Laboratories (Ay),AH-Grapep-Plus,Liquid,Aravindasav,AY-18-A-016
72,A H Laboratories (Ay),AH-Krimi-Nil,Liquid,Mustakadi Kwath,AY-18-A-017
73,A H Laboratories (Ay),AH-Dashan,Powder,Dashan Sanskar Churna,AY-18-A-018
74,A. N. Laboratories Ayurvedic Ltd.,A. N. Plex,Liquid,Amalaki Rasayan,AY-018-A-001
75,A. N. Laboratories Ayurvedic Ltd.,Dia. V,Liquid,Jambadyarista,AY-018-A-002
76,A. N. Laboratories Ayurvedic Ltd.,A. V. Plex,Liquid,Sanjivani Rasayan,AY-018-A-003
77,A. N. Laboratories Ayurvedic Ltd.,Alpha plus,Oil (Liquid),Jatyadya Taila,AY-018-A-004
78,A. N. Laboratories Ayurvedic Ltd.,A. N. Cof,Liquid,Vasakarista / Vasakasav,AY-018-A-005
79,A. N. Laboratories Ayurvedic Ltd.,Rakmax,Liquid,Saribadyarista,AY-18-A-006
80,A. N. Laboratories Ayurvedic Ltd.,Regliv,Syrup,Rohitakarista,AY-18-A-007
81,A. N. Laboratories Ayurvedic Ltd.,A-Lo,Liquid,Aswagandharista,AY-18-A-008
82,A. N. Laboratories Ayurvedic Ltd.,ALN,Liquid,Chandanasav,AY-18-A-009
83,A. N. Laboratories Ayurvedic Ltd.,Arzu-V,Liquid,Arjunarista,AY-18-A-010
84,A. N. Laboratories Ayurvedic Ltd.,LQ-V,Liquid,Ashokarista,AY-18-A-012
85,A. N. Laboratories Ayurvedic Ltd.,Hemo,Liquid,Balarista,AY-18-A-013
86,A. N. Laboratories Ayurvedic Ltd.,Famiva,Liquid,Draksharista,AY-18-A-015
87,A. N. Laboratories Ayurvedic Ltd.,Zito,Liquid,Dasamularista,AY-18-A-016
88,A. N. Laboratories Ayurvedic Ltd.,Lox,Liquid,Ginseng,AY-18-A-017
89,A.R. Laboratories (Ay),Terbula,Liquid,Dasamularista,AY-92-A-001
90,A.R. Laboratories (Ay),Wifera,Liquid,Aswagandharista,AY-92-A-002
91,A.R. Laboratories (Ay),Vinira,Liquid,Draksharista,AY-92-A-003
92,A.R. Laboratories (Ay),Sukrazin,Semi-Solid,Sukrasanjibani Modak,AY-92-A-004
93,A.R. Laboratories (Ay),Sharika,Liquid,Ashokarista,AY-92-A-006
94,A.R. Laboratories (Ay),Cydus,Liquid,Mustakarista,AY-92-A-007
95,A.R. Laboratories (Ay),Aravindasav,Liquid,Aravindasav,AY-92-A-008
96,A.R. Laboratories (Ay),D-Baluncef,Tablet,Bahu Mutrantak Ras,AY-92-A-009
97,A.R. Laboratories (Ay),Viglash,Tablet,Ratibilas Bati,AY-92-A-010
98,A.R. Laboratories (Ay),A.R. Vigo,Tablet,Joubansatadal,AY-92-A-011
99,A.R. Laboratories (Ay),Arom,Tablet,Dhatri Louha (Bhabna),AY-92-A-012
100,ACI Ayurvedic,Aswagandharista,Liquid,Aswagandharista,AY-65-A-1
101,ACI Ayurvedic,Chandanasav,Liquid,Chandanasav,AY-65-A-2
102,ACI Ayurvedic,Saribadyarista,Liquid,Saribadyarista,AY-65-A-3
103,ACI Ayurvedic,Dasamularista,Liquid,Dasamularista,AY-65-A-4
104,ACI Ayurvedic,Patrangasav,Liquid,Patrangasav,AY-65-A-5
105,ACI Ayurvedic,Balarista,Liquid,Balarista,AY-65-A-6
106,AD Ayurvedic Laboratories Ltd.,AD-Losi,Liquid,Kalameghasav,AY-200-A-001
107,AD Ayurvedic Laboratories Ltd.,AD-Pepsia,Liquid,Mustakarista,AY-200-A-002
108,AD Ayurvedic Laboratories Ltd.,Balaron,Liquid,Balarista,AY-200-A-003
109,AD Ayurvedic Laboratories Ltd.,AD-Zyme,Liquid,Jamani Arka,AY-200-A-004
110,AD Ayurvedic Laboratories Ltd.,AD-Rone,Liquid,Rohitakarista,AY-200-A-006
111,AD Ayurvedic Laboratories Ltd.,Mina-Care,Liquid,Aravindasav,AY-200-A-007
112,AD Ayurvedic Laboratories Ltd.,AD-Cope,Liquid,Vasakarista / Vasakasav,AY-200-A-008
113,AD Ayurvedic Laboratories Ltd.,AD-Urita,Liquid,Amalaki Rasayan,AY-200-A-009
114,AD Ayurvedic Laboratories Ltd.,AD-Fo,Liquid,Jambadyarista,AY-200-A-010
115,AD Ayurvedic Laboratories Ltd.,AD-Caris,Liquid,Arjunarista,AY-200-A-011
116,AD Ayurvedic Laboratories Ltd.,Mideo Min,Syrup,Sanjivani Rasayan,AY-200-A-012
117,AD Ayurvedic Laboratories Ltd.,Neuroni,Syrup,Aswagandharista,AY-200-A-013
118,AD Ayurvedic Laboratories Ltd.,Chandanasav,Syrup,Chandanasav,AY-200-A-014
119,AD Ayurvedic Laboratories Ltd.,AD-Mix,Syrup,Dasamularista,AY-200-A-015
120,AD Ayurvedic Laboratories Ltd.,Licourine,Liquid,Patrangasav,AY-200-A-005
121,Adlab Ayurvedic,Mustakarista,Liquid,Mustakarista,AY-181-A-001
122,Adlab Ayurvedic,Ashokarista,Liquid,Ashokarista,AY-181-A-002
123,Adlab Ayurvedic,Patrangasav,Liquid,Patrangasav,AY-181-A-003
124,Adlab Ayurvedic,Balarista,Liquid,Balarista,AY-181-A-004
125,Adlab Ayurvedic,Arjunarista,Liquid,Arjunarista,AY-181-A-005
126,Adlab Ayurvedic,Kutajarista,Liquid,Kutajarista,AY-181-A-006
127,Adlab Ayurvedic,Basakarista,Liquid,Vasakarista / Vasakasav,AY-181-A-007
128,Adlab Ayurvedic,Amlaki Rasayan,Liquid,Amalaki Rasayan,AY-181-A-008
129,Adlab Ayurvedic,Aravindasav,Liquid,Aravindasav,AY-181-A-009
130,Adlab Ayurvedic,Gondhak Molam,Ointment,Gandhakadi Malahar / Gandhak Malam,AY-181-A-010
131,Adlab Ayurvedic,Mohagni Batika,Tablet,Mahagni Bati,AY-181-A-011
132,Adlab Ayurvedic,Louhasav,Liquid,Louhasav,AY-181-A-012
133,Adlab Ayurvedic,Chandanasav,Liquid,Chandanasav,AY-181-A-013
134,Adlab Ayurvedic,Chyabanprash,Semi-Solid,Chyabanprash,AY-181-A-014
135,Adlab Ayurvedic,Raja Probartani,Tablet,Raja Prabartini Bati,AY-181-A-015
136,Akram Laboratories (Ayurvedic),Aritona,Liquid,Baladi Kwath,AY-102-A-004
137,Akram Laboratories (Ayurvedic),Akroferon,Liquid,Louhasav,AY-102-A-001
138,Akram Laboratories (Ayurvedic),Leucocide,Liquid,Darbadi Kwath,AY-102-A-005
139,Akram Laboratories (Ayurvedic),Akrovus,Liquid,Drakshadi Kwath,AY-102-A-002
140,Akram Laboratories (Ayurvedic),A-Digest,Liquid,Mustakarista,AY-102-A-003
141,Akram Laboratories (Ayurvedic),HP-500,Syrup,Bhimras,AY-102-A-039
142,Akram Laboratories (Ayurvedic),A-Piles,Liquid,Abhayarista,AY-102-A-041
143,Akram Laboratories (Ayurvedic),Pedi Care,Syrup,Aravindasav,AY-102-A-040
144,Akram Laboratories (Ayurvedic),Alvasim,Syrup,Vasakarista / Vasakasav,AY-102-A-042
145,Akram Laboratories (Ayurvedic),Livadex,Syrup,Kalameghasav,AY-102-A-043
146,Akram Laboratories (Ayurvedic),Menocare,Liquid,Ashokarista,AY-102-A-007
147,Akram Laboratories (Ayurvedic),A-Card,Liquid,Arjunarista,AY-102-A-006
148,Akram Laboratories (Ayurvedic),Sustagim,Liquid,Aswagandharista,AY-102-A-008
149,Akram Laboratories (Ayurvedic),Akrocid,Liquid,Amalaki Rasayan,AY-102-A-009
150,Akram Laboratories (Ayurvedic),A-Alko,Liquid,Chandanasav,AY-102-A-010
151,Akram Laboratories (Ayurvedic),Amiton Plus,Liquid,Dasamularista,AY-102-A-011
152,Akram Laboratories (Ayurvedic),Patrangasav,Liquid,Patrangasav,AY-102-A-012
153,Akram Laboratories (Ayurvedic),Balauit,Liquid,Balarista,AY-102-A-013
154,Akram Laboratories (Ayurvedic),Skinil,Liquid,Saribadyarista,AY-102-A-014
155,Akram Laboratories (Ayurvedic),Heptagim,Liquid,Rohitakarista,AY-102-A-023
156,Akram Laboratories (Ayurvedic),Jambadyarista,Liquid,Jambadyarista,AY-102-A-024
157,Akram Laboratories (Ayurvedic),Amoneed,Liquid,Kutajarista,AY-102-A-025
158,Akram Laboratories (Ayurvedic),Memoton,Liquid,BrahmiRasayan / Sarswatarista,AY-102-A-026
159,Akram Laboratories (Ayurvedic),Rheumin,Tablet,Vat Gajangkus,AY-102-A-017
160,Akram Laboratories (Ayurvedic),Kamini Gold,Tablet,Kamini Vidravan Ras,AY-102-A-016
161,Akram Laboratories (Ayurvedic),Dysentgin,Tablet,Kutajaghana Bati/Kutaja Bati,AY-102-A-038
162,Akram Laboratories (Ayurvedic),A-Tiger,Tablet,Vaskar Lavan,AY-102-A-037
163,Akram Laboratories (Ayurvedic),Gononil,Tablet,Brihat Bangeswar,AY-102-A-036
164,Akram Laboratories (Ayurvedic),Veginex,Tablet,Icchabhedi Ras,AY-102-A-035
165,Akram Laboratories (Ayurvedic),A-Azmonil,Tablet,Swaskaschintamoni,AY-102-A-018
166,Akram Laboratories (Ayurvedic),Vigo-30,Tablet,Joubansatadal,AY-102-A-019
167,Akram Laboratories (Ayurvedic),Skinitol,Tablet,Manikya Ras,AY-102-A-020
168,Akram Laboratories (Ayurvedic),Amrocid,Tablet,Dhatri Louha,AY-102-A-020
169,Akram Laboratories (Ayurvedic),Leucofen,Tablet,Pradarantak Louha,AY-102-A-022
170,Akram Laboratories (Ayurvedic),Ratibilas,Capsule,Ratibilas Bati,AY-102-A-028
171,Akram Laboratories (Ayurvedic),Supradyn,Capsule,Mahasankha Bati,AY-102-A-029
172,Akram Laboratories (Ayurvedic),X-P Silver,Capsule,Makardhwaj Rasayan,AY-102-A-030
173,Akram Laboratories (Ayurvedic),Diabe Care,Capsule,Bahu Mutrantak Ras,AY-102-A-031
174,Akram Laboratories (Ayurvedic),Ame-20,Capsule,Amlapittantak Ras,AY-102-A-032
175,Akram Laboratories (Ayurvedic),Silm-A,Capsule,Barabagni Louha,AY-102-A-033
176,Akram Laboratories (Ayurvedic),M-R 20,Capsule,Raja Prabartini Bati,AY-102-A-034
177,Akram Laboratories (Ayurvedic),Behesti Kas Oil,Oil (Liquid),Himsagar Taila,AY-102-A-044
178,Akram Laboratories (Ayurvedic),R.A. Care Oil,Oil (Liquid),Batrakhashi Taila,AY-102-A-045
179,Akram Laboratories (Ayurvedic),Vig Oil,Oil (Liquid),Shri Gopal Taila,AY-102-A-046
180,Akram Laboratories (Ayurvedic),Bronco Oil,Oil (Liquid),Basa Chandanadya Taila / Brihat Sarchandanadi Taila,AY-102-A-047
181,Akram Laboratories (Ayurvedic),Chyabanprash,Semi-Solid,Chyabanprash,AY-102-A-027
182,Akram Laboratories (Ayurvedic),Semogin,Semi-Solid,Sukrasanjibani Modak,AY-102-A-015
183,Aksim Laboratories (Ayurvedic),Green Tea,Syrup,Green Tea,AY-61-A-095
184,Aksim Laboratories (Ayurvedic),Green Tea Powder Drink,Powder,Green Tea,AY-61-A-096
185,Aksim Laboratories (Ayurvedic),Sriparni Taila,Oil (Liquid),Sriparni Taila,AY-61-A-097
186,Aksim Laboratories (Ayurvedic),Thankuni,Capsule,Thankuni 500 mg,AY-61-A-098
187,Aksim Laboratories (Ayurvedic),Himsagar Taila,Oil (Liquid),Himsagar Taila,AY-61-A-099
188,Aksim Laboratories (Ayurvedic),Mahabhringaraj Taila,Oil (Liquid),Mahabhringaraj Taila,AY-61-A-100
189,Aksim Laboratories (Ayurvedic),Laxmibilas Taila,Oil (Liquid),Laxmibilas Taila,AY-61-A-101
190,Aksim Laboratories (Ayurvedic),Leconid,Liquid,Patrangasav,AY-61-A-001
191,Aksim Laboratories (Ayurvedic),Dirox,Liquid,Kutajarista,AY-61-A-002
192,Aksim Laboratories (Ayurvedic),Citral,Liquid,Chandanasav,AY-61-A-003
193,Aksim Laboratories (Ayurvedic),Dicorex,Liquid,Vasakarista / Vasakasav,AY-61-A-004
194,Aksim Laboratories (Ayurvedic),Ascorex,Liquid,Aswagandharista,AY-61-A-005
195,Aksim Laboratories (Ayurvedic),Diaberex,Liquid,Jambadyarista,AY-61-A-006
196,Aksim Laboratories (Ayurvedic),Lancer,Liquid,Saribadyarista,AY-61-A-007
197,Aksim Laboratories (Ayurvedic),Belgin,Liquid,Mustakarista,AY-61-A-008
198,Aksim Laboratories (Ayurvedic),Infenta,Liquid,Jirakadyarista / Jirakarista,AY-61-A-009
199,Aksim Laboratories (Ayurvedic),Amtrax,Liquid,Prasarani Sandhan,AY-61-A-010
200,Aksim Laboratories (Ayurvedic),Cardorex,Liquid,Arjunarista,AY-61-A-011
201,Aksim Laboratories (Ayurvedic),Fevarex,Liquid,Amritarista,AY-61-A-012
202,Aksim Laboratories (Ayurvedic),Mensozin,Liquid,Ashokarista,AY-61-A-013
203,Aksim Laboratories (Ayurvedic),Harviton,Liquid,Balarista,AY-61-A-014
204,Aksim Laboratories (Ayurvedic),Levonid,Liquid,Rohitakarista,AY-61-A-015
205,Aksim Laboratories (Ayurvedic),Multirex,Liquid,Dasamularista,AY-61-A-016
206,Aksim Laboratories (Ayurvedic),Amacid,Liquid,Amalaki Rasayan,AY-61-A-017
207,Aksim Laboratories (Ayurvedic),Aksimin,Liquid,Maha Draksharista,AY-61-A-018
208,Aksim Laboratories (Ayurvedic),Coldex,Semi-Solid,Chyabanprash,AY-61-A-019
209,Aksim Laboratories (Ayurvedic),Fevacap,Capsule,Makardwaja,AY-61-A-020
210,Aksim Laboratories (Ayurvedic),Venorex,Capsule,Sidha Makardwaja,AY-61-A-021
211,Aksim Laboratories (Ayurvedic),Aksivit,Liquid,Upasam,AY-61-A-022
212,Aksim Laboratories (Ayurvedic),Sanjiplex,Semi-Solid,Sukrasanjibani Modak,AY-61-A-024
213,Aksim Laboratories (Ayurvedic),Iron Syrup,Liquid,Louhasav,AY-61-A-025
214,Aksim Laboratories (Ayurvedic),Babin,Liquid,Aravindasav,AY-61-A-026
215,Aksim Laboratories (Ayurvedic),Digetab,Tablet,Vaskar Lavan,AY-61-A-027
216,Aksim Laboratories (Ayurvedic),Enzimax,Liquid,Jamani Arka,AY-61-A-028
217,Aksim Laboratories (Ayurvedic),Amotrax,Liquid,Biranga Louha,AY-61-A-029
218,Aksim Laboratories (Ayurvedic),Livasab,Liquid,Kalameghasav,AY-61-A-030
219,Aksim Laboratories (Ayurvedic),Aksitec,Capsule,Mahagni Bati,AY-61-A-031
220,Aksim Laboratories (Ayurvedic),H-Free,Capsule,Mahalaksmi Bilas (Shirorog),AY-61-A-032
221,Aksim Laboratories (Ayurvedic),Lizard,Capsule,Ratibilas Bati,AY-61-A-033
222,Aksim Laboratories (Ayurvedic),Leucotab,Capsule,Raja Prabartini Bati,AY-61-A-034
223,Aksim Laboratories (Ayurvedic),Levocap,Capsule,Nabayas Louha,AY-61-A-035
224,Aksim Laboratories (Ayurvedic),Regain,Capsule,Joubansatadal,AY-61-A-036
225,Aksim Laboratories (Ayurvedic),Diacap,Capsule,Bahu Mutrantak Ras,AY-61-A-041
226,Aksim Laboratories (Ayurvedic),Neem Care,Capsule,Nimbadi Churna,AY-61-A-040
227,Aksim Laboratories (Ayurvedic),Re-Cap,Capsule,Brihat Purnachandra Ras,AY-61-A-039
228,Aksim Laboratories (Ayurvedic),Leucap,Capsule,Pradarari Ras,AY-61-A-038
229,Aksim Laboratories (Ayurvedic),Emove,Capsule,Vat Gajangkus,AY-61-A-037
230,Aksim Laboratories (Ayurvedic),Bilcap,Capsule,Pittantak Ras,AY-61-A-036
231,Aksim Laboratories (Ayurvedic),Noctonal,Capsule,Dhariti Bati /Karpur Ras,AY-61-A-042
232,Aksim Laboratories (Ayurvedic),Dentic,Powder,Dashan Sanskar Churna,AY-61-A-043
233,Aksim Laboratories (Ayurvedic),Exual,Powder,Nagbaladya Churna,AY-61-A-044
234,Aksim Laboratories (Ayurvedic),Gouter,Liquid,Batari,AY-61-A-045
235,Aksim Laboratories (Ayurvedic),Kesten,Oil (Liquid),Shri Gopal Taila,AY-61-A-046
236,Aksim Laboratories (Ayurvedic),Duplocon,Powder,Pushyanugn Churna,AY-61-A-047
237,Aksim Laboratories (Ayurvedic),Ovatrex,Tablet,Krimi Mudgar Ras,AY-61-A-048
238,Aksim Laboratories (Ayurvedic),Tempacol,Capsule,Mritunjoy Ras,AY-61-A-049
239,Aksim Laboratories (Ayurvedic),Wisen,Capsule,Saraswata Churna,AY-61-A-050
240,Aksim Laboratories (Ayurvedic),Gym,Capsule,Tankan Bati,AY-61-A-051
241,Aksim Laboratories (Ayurvedic),Laxatol,Capsule,Icchabhedi Ras,AY-61-A-052
242,Aksim Laboratories (Ayurvedic),Libiten,Capsule,Manmathavra Ras,AY-61-A-053
243,Aksim Laboratories (Ayurvedic),Lecopen,Capsule,Shibani Bati,AY-61-A-054
244,Aksim Laboratories (Ayurvedic),Gaster,Capsule,Dhatri Louha,AY-61-A-055
245,Aksim Laboratories (Ayurvedic),Harten,Capsule,Pravakar Bati,AY-61-A-56
246,Aksim Laboratories (Ayurvedic),Rheuten,Capsule,Bridhyadaradya Louha,AY-61-A-057
247,Aksim Laboratories (Ayurvedic),Digemax,Capsule,Mahasankha Bati,AY-61-A-058
248,Aksim Laboratories (Ayurvedic),Respasil,Capsule,Swaskaschintamoni,AY-61-A-059
249,Aksim Laboratories (Ayurvedic),Piloten,Liquid,Kanakarista,AY-61-A-060
250,Aksim Laboratories (Ayurvedic),Kushicap,Capsule,Cowhage,AY-61-A-061
251,Aksim Laboratories (Ayurvedic),Capgin,Capsule,Ginger,AY-61-A-062
252,Aksim Laboratories (Ayurvedic),Aksim Chirata 500,Capsule,Chirata,AY-61-A-063
253,Aksim Laboratories (Ayurvedic),Minicol,Capsule,Garlic,AY-61-A-064
254,Aksim Laboratories (Ayurvedic),MD 500,Capsule,Jambolan / Syzygium,AY-61-A-065
255,Aksim Laboratories (Ayurvedic),Stoma,Capsule,Agrimoni,AY-61-A-066
256,Aksim Laboratories (Ayurvedic),Stoma-G,Capsule,Aswagandha,AY-61-A-067
257,Aksim Laboratories (Ayurvedic),Bark Fresh,Liquid,Hwema Bark Drink,AY-61-A-068
258,Aksim Laboratories (Ayurvedic),Carotacap,Capsule,Wild Carrot,AY-61-A-069
259,Aksim Laboratories (Ayurvedic),Nigecap,Capsule,Nigella,AY-61-A-070
260,Aksim Laboratories (Ayurvedic),Paniliva,Capsule,Kalamegh,AY-61-A-071
261,Aksim Laboratories (Ayurvedic),Rejuva,Syrup,Mritasanjibani (Bajikaran),AY-61-A-072
262,Aksim Laboratories (Ayurvedic),Indigen,Liquid,Fig,AY-61-A-073
263,Aksim Laboratories (Ayurvedic),Neobela,Liquid,Belladonna,AY-61-A-074
264,Aksim Laboratories (Ayurvedic),Stomagin,Liquid,Chinese Rhubarb (China Raucini),AY-61-A-075
265,Aksim Laboratories (Ayurvedic),Vinogen,Liquid,Sotamul,AY-61-A-076
266,Aksim Laboratories (Ayurvedic),Neolax,Liquid,Bengle Quince,AY-61-A-077
267,Aksim Laboratories (Ayurvedic),Neohing,Tablet,Asafoetida,AY-61-A-078
268,Aksim Laboratories (Ayurvedic),Neoliva,Liquid,Milk Thistle,AY-61-A-079
269,Aksim Laboratories (Ayurvedic),Milk Thistle 70 mg,Capsule,Milk Thistle 70 mg,AY-61-A-080
270,Aksim Laboratories (Ayurvedic),Neovas,Liquid,Vasaka / Jastishia,AY-61-A-081
271,Aksim Laboratories (Ayurvedic),Neorose,Capsule,Evening Primrose Oil,AY-61-A-082
272,Aksim Laboratories (Ayurvedic),Constipa,Liquid,Castor Oil Plant,AY-61-A-083
273,Aksim Laboratories (Ayurvedic),Neobrain,Liquid,Ginkgo Biloba,AY-61-A-084
274,Aksim Laboratories (Ayurvedic),Peucap,Capsule,Neem,AY-61-A-085
275,Aksim Laboratories (Ayurvedic),Senacap,Capsule,Ginseng,AY-61-A-086
276,Aksim Laboratories (Ayurvedic),Neoloba,Capsule,Ginkgo Biloba 120 mg,AY-61-A-087
277,Aksim Laboratories (Ayurvedic),Neogul,Powder,Ispaghula Husk,AY-61-A-088
278,Aksim Laboratories (Ayurvedic),Neodia,Liquid,Jambolan / Syzygium,AY-61-A-089
279,Aksim Laboratories (Ayurvedic),Neodina,Liquid,Pipermint/Pudina,AY-61-A-090
280,Aksim Laboratories (Ayurvedic),Neogas,Liquid,Sage (Bhui Tulsi),AY-61-A-091
281,Aksim Laboratories (Ayurvedic),Roslina,Capsule,Spirulina,AY-61-A-092
282,Aksim Laboratories (Ayurvedic),Jasticof,Syrup,Liquorice (Jasthimadhu),AY-61-A-093
283,Aksim Laboratories (Ayurvedic),Neoflu,Liquid,Echinacea,AY-61-A-094
284,Al-Rej Laboratories (Ay),Arjunarista,Liquid,Arjunarista,AY-18-A-007
285,Al-Rej Laboratories (Ay),Ashokarista,Liquid,Ashokarista,AY-18-A-008
286,Al-Rej Laboratories (Ay),Jambadyarista,Liquid,Jambadyarista,AY-18-A-009
287,Al-Rej Laboratories (Ay),Vasakarista,Liquid,Vasakarista / Vasakasav,AY-18-A-010
