SL,Name of the Manufacturer,Brand Name,Dosages Description,Generic Name and Strength,DAR
57,"Aristopharma Ltd., (Herbal Division)",Ginsenia,Capsule,Ginkgo Biloba + Panax Ginseng,038-025-94
58,"Aristopharma Ltd., (Herbal Division)",Goodbac-GG 20,Capsule,Lactobacillus rhamnosus GG Blend,038-026-94
59,"Aristopharma Ltd., (Herbal Division)",Goodbac-L,Syrup,Bacillus Subtills HU58,038-027-94
60,"Aristopharma Ltd., (Herbal Division)",Oralin-T,Oral Rinse,Honey Liquid + Triphala Extract + Turmeric Extract,038-028-94
61,"Aristopharma Ltd., (Herbal Division)",Fosibon-DK,Tablet,Calcium + Vitamin D3 + Vitamin K2 (Menaquinone-7,038-029-94
62,"Aristopharma Ltd., (Herbal Division)",Encof,Syrup,Adhatoda Vasica + Cinnamomum tamala + Cinnamomum Zeylanicum + Elettaria Cardamomum + Glycyrrhiza Glabra + Myrica Nagi + Piper Longum + Piper Nigrum + Pistacia Integerrima + Sausurea Lappa + Syzygium Aromaticum + Terminalia Chebula (Haritaki) + Zingiber Of,038-030-94
63,"Aristopharma Ltd., (Herbal Division)",Clova Mouthwash,Mouth Wash,Clove (Liquid),038-031-94
64,"Aristopharma Ltd., (Herbal Division)",Blaksid,Soft Gelatin Capsule,Black Seed Oil,038-034-94
65,"Aristopharma Ltd., (Herbal Division)",Sinumate,Tablet,Common Sorrel Herb Extract (Rumex Acetosa) + Elderberry Flower Extract (Sambucus Nigra) + European Vervain Herb Extract (Verbena Officinalis) + Gentian Root Extract (gentiana Lutea) + Primrose Flower Extract (Primula Veris),038-035-94
66,"Aristopharma Ltd., (Herbal Division)",Ivycof,Syrup,IVY Leaf + Thyme dry extract,038-036-94
67,"Aristopharma Ltd., (Herbal Division)",Cozyten-50,Capsule,Coenzyme Q-10,038-037-94
68,"Aristopharma Ltd., (Herbal Division)",Cozyten-100,Soft Gelatin Capsule,Coenzyme Q-10,038-039-94
69,"Aristopharma Ltd., (Herbal Division)",Menopase,Capsule,Red Clover,038-039-94
70,"Aristopharma Ltd., (Herbal Division)",Pepelif,Capsule,Carica Papaya,038-040-94
71,"Aristopharma Ltd., (Herbal Division)",Pepelif,Syrup,Carica Papaya,038-041-94
72,"Aristopharma Ltd., (Herbal Division)",Joinflex-A,Capsule,Boswellia Serrata Extract + Undenatured Type II Collagen,038-042-94
73,"Aristopharma Ltd., (Herbal Division)",Hepmarin-70,Capsule,Milk Thistle,038-001-94
74,"Aristopharma Ltd., (Herbal Division)",Hepamarin-140,Capsule,Milk Thistle,038-002-94
75,"Aristopharma Ltd., (Herbal Division)",Arulina-500,Capsule,Spirulina,038-003-94
76,"Aristopharma Ltd., (Herbal Division)",Fibosyl Effervescent Powder,Effervescent Granules,Psyllium Husk,038-004-94
77,"Aristopharma Ltd., (Herbal Division)",Joinflex-40,Capsule,Native Type II Collagen,038-005-94
78,"Aristopharma Ltd., (Herbal Division)",Goodbac-3S,Capsule,Probiotic Blend,038-006-94
79,"Aristopharma Ltd., (Herbal Division)",Goodbac-SB,Capsule,Sacharomyces Boulardi,038-007-94
80,"Aristopharma Ltd., (Herbal Division)",Anseng-500,Capsule,Ginseng,038-008-94
81,"Aristopharma Ltd., (Herbal Division)",Ginkgo-B 60,Capsule,Ginkgo Biloba,038-009-94
82,"Aristopharma Ltd., (Herbal Division)",Ginkgo-B 120,Capsule,Ginkgo Biloba,038-010-94
83,"Aristopharma Ltd., (Herbal Division)",Primrole 500,Soft Gelatin Capsule,Evening Primrose Oil,038-011-94
84,"Aristopharma Ltd., (Herbal Division)",Primrole 1000 Softgel,Soft Gelatin Capsule,Evening Primrose Oil,038-012-94
85,Ashoka Laboratories (Herbal),Enova-Q,Capsule,Coenzyme Q-10,016-005-94
86,Ashoka Laboratories (Herbal),Gen-II,Capsule,Collagen II,016-006-94
87,Ashoka Laboratories (Herbal),Chilagen,Capsule,Boswellia (Aflapin) + Chicken Collagen Type II,016-007-94
88,Ashoka Laboratories (Herbal),Linomarin,Capsule,Silymarin,016-008-94
89,Ashoka Laboratories (Herbal),Tin-A,Capsule,Biotin,016-009-94
90,Ashoka Laboratories (Herbal),Glubery,Capsule,Bilberry Fruits,016-010-94
91,Ashoka Laboratories (Herbal),Vigojoy,Capsule,Pausinystalia Yohimbe,016-011-94
92,Ashoka Laboratories (Herbal),Dysmonil,Capsule,Black Cohosh,016-012-94
93,Ashoka Laboratories (Herbal),Migrocare,Capsule,Saw Palmetto,016-013-94
94,Ashoka Laboratories (Herbal),Allrex-H,Capsule,Probiotics,016-014-94
95,Ashoka Laboratories (Herbal),Flexy-V,Capsule,Valerian,016-015-94
96,Ashoka Laboratories (Herbal),Quvit-7,Capsule,Menaquinone,016-016-94
97,Ashoka Laboratories (Herbal),Calpain-F,Capsule,Red Clover,016-017-94
98,Ashoka Laboratories (Herbal),Femisterol,Capsule,Muira Puama,016-018-94
99,Ashoka Laboratories (Herbal),Spirulina,Capsule,Spirulina,016-0004-94
100,Ashoka Laboratories (Herbal),St.Jhon Worot,Capsule,St. John's Wort,016-0003-94
101,Ashoka Laboratories (Herbal),Ginkgo 60 mg,Capsule,Ginkgo,016-0002-94
102,Ashoka Laboratories (Herbal),Ginseng,Capsule,Ginseng,016-0001-94
103,Attach Herbal & Neutraceuticals,Primosa,Capsule,Evening Primrose Oil,005-004-94
104,Attach Herbal & Neutraceuticals,Dream,Capsule,St. John's Wort,005-005-94
105,Attach Herbal & Neutraceuticals,Dozy,Capsule,Melatonin,005-006-94
106,Attach Herbal & Neutraceuticals,Labtic,Capsule,Bifidobacterium Lactis + Lactobacillus Acidophillus,005-007-94
107,Attach Herbal & Neutraceuticals,Gitog,Capsule,Fenugreek Extract,005-008-94
108,Attach Herbal & Neutraceuticals,Utiflow,Capsule,Copper Gluconate + Ginseng + Pygeum bark + Saw Palmetto + Zinc Sulphate,005-009-94
109,Attach Herbal & Neutraceuticals,Genstyle,Capsule,Mucuna Pruriens,005-010-94
110,Attach Herbal & Neutraceuticals,Shetach,Capsule,Dongque,005-011-94
111,Attach Herbal & Neutraceuticals,N-Sweeter,Tablet,Stevia,005-012-94
112,Attach Herbal & Neutraceuticals,ZQ-10,Tablet,Coenzyme Q-10,005-013-94
113,Attach Herbal & Neutraceuticals,Calsiforte,Tablet,Avena Sativa,005-014-94
114,Attach Herbal & Neutraceuticals,DMT,Tablet,Folium Cynarae,005-015-94
115,Attach Herbal & Neutraceuticals,Reactive,Tablet,Silymarin,005-016-94
116,Attach Herbal & Neutraceuticals,Sagitach,Tablet,Sage (Salvia Officinalis),005-017-94
117,Attach Herbal & Neutraceuticals,Giolife,Liquid,Ashwagandha + Asparagus + Berela + Bidari Kondo,005-018-94
118,Attach Herbal & Neutraceuticals,Realme,Liquid,Basak,005-019-94
119,Attach Herbal & Neutraceuticals,Kido-Active,Powder,Bifidobacterium bifidum + Fructo-Oligosaccharide,005-020-94
120,Attach Herbal & Neutraceuticals,Laxodone,Powder,Ispaghula Husk + Senna,005-021-94
121,Attach Herbal & Neutraceuticals,Omefiol-3,Capsule,Omega 3 Fish Oil,005-022-94
122,Attach Herbal & Neutraceuticals,Biovital-1000,Tablet,Biotin,005-023-94
123,Attach Herbal & Neutraceuticals,Egion,Tablet,Collagen II,005-024-94
124,Attach Herbal & Neutraceuticals,Inferty,Tablet,Myo Inositol + Vitex Eagnus Extract,005-025-94
125,Attach Herbal & Neutraceuticals,Flufix,Liquid,IVY Leaf + Thyme dry extract,005-026-94
126,Attach Herbal & Neutraceuticals,CalV-D7,Tablet,Calcium Carbonate 30 + Menaquinone + Vitamin D3,005-027-94
127,Attach Herbal & Neutraceuticals,Valugin 500 mg,Capsule,Ginseng,005-0001-94
128,Attach Herbal & Neutraceuticals,Memory Plus 60 mg,Capsule,Ginkgo,005-0002-94
129,Attach Herbal & Neutraceuticals,Vita Green 500 mg,Capsule,Spirulina,005-0003-94
130,Attach Herbal & Neutraceuticals,CalV-D7,Tablet,Elemental Calcium + Vitamin D3 + Vitamin K2 (Menaquinone-7,005-027-94
131,Attach Herbal & Neutraceuticals,Hyrotach,Capsule,Boswellia Serrata Extract + Hyaluronic Acid + Methyl Sulfonyl Methane (MSM) Powder + Turmeric Extract + Undenatured Type II Collagen,005-028-94
132,Attach Herbal & Neutraceuticals,AT-Biotic,Powder,Lactobacillus Rhamnosus,005-029-94
133,Attach Herbal & Neutraceuticals,Ginkgo-Tach,Capsule,Bacopa Monnieri + Ginkgo Biloba + Lecithin,005-030-94
134,Attach Herbal & Neutraceuticals,Flexen Plus,Tablet,Coenzyme Q-10 + Collagen (Marine Fish Collagen Tripeptide) + Glycine + L-Arginine + Vitamin C (L-Ascorbic Acid) + Vitamin E (Dl-alpha-tocopheryl acetate),005-031-94
135,Attach Herbal & Neutraceuticals,FloBiotic,Capsule,Bifidobacterium Animals + Bifidobacterium bifidum + Bifidobacterium Longum + Lactobabacillus Plantarum + Lactobacillus Acidophillus + Lactobacillus Casei + lactobacillus Reuteri + Lactobacillus Rhamnosus,005-032-94
136,Attach Herbal & Neutraceuticals,AlphaTach,Capsule,Alpha Lipoic Acid,005-033-94
137,Attach Herbal & Neutraceuticals,GlucoTach,Capsule,Chondroitin Sulfate + Collagen II + Glucosamine Sulfate Potassium Chloride,005-034-94
138,Attach Herbal & Neutraceuticals,Fairgain,Capsule,Biotin (D-Biotin) + Copper Gluconate + Horsetail Herbs extract + Iron Gluconate + L-Arginine + L-Cystine + L-Methionine + Magnesium Oxide + Vitamin B2 (Riboflavin) + Vitamin B3 (Niacin) + Vitamin B5 (D Pntothenate Calcium) + Vitamin B6 (Pyridixine Hydroch,005-035-94
139,Attach Herbal & Neutraceuticals,Livergain,Tablet,Silymarin,005-036-94
140,Attach Herbal & Neutraceuticals,Urotach,Capsule,Cranberry Fruit Extract + Lycopene (From Natural Tomato Extract) + Pygeum bark + Saw Palmetto + Uva-ursi/Bearberry,005-037-94
141,Attach Herbal & Neutraceuticals,Green-gold,Tablet,Spirulina,005-038-94
142,Attach Herbal & Neutraceuticals,DigiGaurd,Capsule,Bifidobacterium Lactis + Lactobacillus Acidophillus + Lactobacillus Rhamnosus,005-039-94
143,Attach Herbal & Neutraceuticals,AT-Biotin,Tablet,Biotin,005-040-94
144,Attach Herbal & Neutraceuticals,Yogut,Powder,Bifidobacterium Infants + Bifidobacterium Lactis + Streptococcus Thermoophiles Premix,005-041-94
145,Attach Herbal & Neutraceuticals,Q-7,Tablet,Menaquinone,005-042-94
146,Attach Herbal & Neutraceuticals,OrthoMax,Tablet,Boron + Boswellia Serrata Extract + Glucosamine Sulfate Potassium Chloride + Undenatured Type II Collagen,005-043-94
147,Attach Herbal & Neutraceuticals,NutriFlora,Capsule,Lactobacillus rhamnosus GR-1 and Lactobacillus reuteri RC-14 blend,005-045-94
148,Attach Herbal & Neutraceuticals,Femo-Cyst,Capsule,D Chiro Inositol (Carob),005-046-94
149,Attach Herbal & Neutraceuticals,Lacto-Bact,Capsule,Bifidobacterium Lactis (Bi-04) + Bifidobacterium Lactis (Bi-07) + Lactobacillus acidophillus (NCFM) + Lactobacillus Paracasei (Lpc-37),005-047-94
150,Attach Herbal & Neutraceuticals,Ginovest 60,Capsule,Ginkgo Biloba + Panax Ginseng,005-049-94
151,Attach Herbal & Neutraceuticals,F-Cut,Capsule,Alpha Cyclodextrin (Zea mays),005-050-94
152,Attach Herbal & Neutraceuticals,Pynogel,Capsule,French Maritime Pine Bark Extract,005-051-94
153,Attach Herbal & Neutraceuticals,Alltach-N,Capsule,Moringa Leaf Powder,005-052-94
154,Attach Herbal & Neutraceuticals,Fair-Fast,Capsule,L-Glutathione,005-053-94
155,Attach Herbal & Neutraceuticals,Hylofast,Capsule,Hyaluronic Acid,005-054-94
156,Attach Herbal & Neutraceuticals,Isolux,Capsule,Bilva,005-055-94
157,Attach Herbal & Neutraceuticals,Easy-Lax,Powder,Banorhati/Sonali (Cassia fistula) + Haritaki + Isabgul Plane + Jashthi Madhu + Mouri (foeniculum Vulgare) + Sonapata,005-056-94
158,Bexter Herbal & Nutraceuticals (Herbal),Bio-Flex,Tablet,Collagen II,020-079-94
159,Bexter Herbal & Nutraceuticals (Herbal),Lacidofil,Capsule,Inulin + Lactobacillus Helveticus,020-080-94
160,Bexter Herbal & Nutraceuticals (Herbal),Ginkgobil,Capsule,Ginkgo Biloba + Panax Ginseng,020-081-94
161,Bexter Herbal & Nutraceuticals (Herbal),Biosolve,Capsule,Bifidobacterium Lactis + Lactobacillus Acidophillus + Lactobacillus Paracasei,020-082-94
162,Bexter Herbal & Nutraceuticals (Herbal),Optibex,Capsule,Bifidobacterium Lactis + Lactobacillus Acidophillus,020-083-94
163,Bexter Herbal & Nutraceuticals (Herbal),Biotino-5000,Tablet,Biotin,020-084-94
164,Bexter Herbal & Nutraceuticals (Herbal),Glutamin,Capsule,L-Glutathione,020-085-94
165,Bexter Herbal & Nutraceuticals (Herbal),Alpha-JR,Capsule,Alpha Lipoic Acid,020-086-94
166,Bexter Herbal & Nutraceuticals (Herbal),Xtend,Powder,Whey Protein Powder,020-087-94
167,Bexter Herbal & Nutraceuticals (Herbal),RE-Lax,Powder,Ispaghula Husk + Senna,020-055-94
168,Bexter Herbal & Nutraceuticals (Herbal),Dulcolax,Powder,Ispaghula Husk,020-054-94
169,Bexter Herbal & Nutraceuticals (Herbal),Lytox,Capsule,Chamomila,020-069-94
170,Bexter Herbal & Nutraceuticals (Herbal),Fertilbex,Tablet,Fructus Agni Casti,020-070-94
171,Bexter Herbal & Nutraceuticals (Herbal),Vital Fort,Capsule,Parsley,020-071-94
172,Bexter Herbal & Nutraceuticals (Herbal),Bcare-CD,Tablet,Cortex Salicis,020-072-94
173,Bexter Herbal & Nutraceuticals (Herbal),Irotab-Z,Tablet,Folium Cynarae,020-073-94
174,Bexter Herbal & Nutraceuticals (Herbal),EasyBio,Capsule,Bifidobacterium Animals + Bifidobacterium bifidum + Lactobacillus Acidophillus + Lactobacillus Rhamnosus,020-074-94
175,Bexter Herbal & Nutraceuticals (Herbal),LV Tone,Tablet,Spirulina,020-075-94
176,Bexter Herbal & Nutraceuticals (Herbal),Acnobex,Capsule,Pearlium,020-076-94
177,Bexter Herbal & Nutraceuticals (Herbal),Yobex,Capsule,Pausinystalia Yohimbe,020-077-94
178,Bexter Herbal & Nutraceuticals (Herbal),Maxidus,Syrup,IVY Leaf + Thyme dry extract,020-078-94
179,Bexter Herbal & Nutraceuticals (Herbal),Tru-Biotic,Capsule,lactobacillus Reuteri,020-057-94
180,Bexter Herbal & Nutraceuticals (Herbal),Biotic-Plus,Capsule,Bifidobacterium Lactis + Lactobacillus Acidophillus,020-058-94
181,Bexter Herbal & Nutraceuticals (Herbal),PB-8,Capsule,Lactobacillus rhamnosus GR-1 and Lactobacillus reuteri RC-14 blend,020-059-94
182,Bexter Herbal & Nutraceuticals (Herbal),Bio-K+,Powder,Fructo-Oligosaccharide + Lactobacillus Acidophillus,020-060-94
183,Bexter Herbal & Nutraceuticals (Herbal),Nibiotic,Powder,Bifidobacterium bifidum + Fructo-Oligosaccharide,020-061-94
184,Bexter Herbal & Nutraceuticals (Herbal),VI Bact,Capsule,Bifidobacterium Animals + Bifidobacterium bifidum + Bifidobacterium Longum + Lactobabacillus Plantarum + Lactobacillus Acidophillus + Lactobacillus Casei + lactobacillus Reuteri + Lactobacillus Rhamnosus,020-062-94
185,Bexter Herbal & Nutraceuticals (Herbal),Ostopar-3,Tablet,Curcuminoids,020-063-94
186,Bexter Herbal & Nutraceuticals (Herbal),Promocal-D6,Tablet,Chicken Sternume Extract + Colchicum Autumnale,020-064-94
187,Bexter Herbal & Nutraceuticals (Herbal),Bio-X4,Tablet,Biotin,020-065-94
188,Bexter Herbal & Nutraceuticals (Herbal),Sprembex,Capsule,Mucuna Pruriens,020-066-94
189,Bexter Herbal & Nutraceuticals (Herbal),Mindcap,Capsule,Ginkgo Biloba,020-067-94
190,Bexter Herbal & Nutraceuticals (Herbal),Vicon-R,Capsule,Muira Puama,020-068-94
191,Bexter Herbal & Nutraceuticals (Herbal),Adofex,Syrup,Adhatoda Vasica,020-009-94
192,Bexter Herbal & Nutraceuticals (Herbal),Oxymax,Capsule,Withania Somnifera,020-010-94
193,Bexter Herbal & Nutraceuticals (Herbal),Biobex,Capsule,Bifidobacterium bifidum + Fructo-Oligosaccharide + Lactobacillus Acidophillus + Lactobacillus Bulgaricus,020-011-94
194,Bexter Herbal & Nutraceuticals (Herbal),Curebex,Capsule,Echinacea,020-012-94
195,Bexter Herbal & Nutraceuticals (Herbal),Osti,Tablet,Avena Sativa,020-013-94
196,Bexter Herbal & Nutraceuticals (Herbal),Laxabex,Powder,Ispaghula Husk,020-014-94
197,Bexter Herbal & Nutraceuticals (Herbal),Teabex,Tablet,Green Tea,020-015-94
198,Bexter Herbal & Nutraceuticals (Herbal),Bexizole,Capsule,Peppermint Oil,020-016-94
199,Bexter Herbal & Nutraceuticals (Herbal),Max-Q 100,Tablet,Coenzyme Q-10,020-045-94
200,Bexter Herbal & Nutraceuticals (Herbal),Brainfit 60,Tablet,Sage (Salvia Officinalis),020-046-94
201,Bexter Herbal & Nutraceuticals (Herbal),Xbion-CD,Tablet,Buchu (Agathosma Betulina),020-047-94
202,Bexter Herbal & Nutraceuticals (Herbal),Neuroguard,Capsule,Goldenrod (Solodago Virgauria),020-048-94
203,Bexter Herbal & Nutraceuticals (Herbal),CD-Bion,Capsule,Lavender (Lavendula Angustifolia),020-049-94
204,Bexter Herbal & Nutraceuticals (Herbal),Ironorm,Tablet,Gotu Kola (Centella Asiatica),020-050-94
205,Bexter Herbal & Nutraceuticals (Herbal),Malato-10,Tablet,Avena Sativa,020-051-94
206,Bexter Herbal & Nutraceuticals (Herbal),PPbex-30,Capsule,Aloevera,020-052-94
207,Bexter Herbal & Nutraceuticals (Herbal),Piru-Fort 250,Tablet,Spirulina,020-053-94
208,Bexter Herbal & Nutraceuticals (Herbal),Bexy-Fort,Capsule,Spirulina,020-0001-94
209,Bexter Herbal & Nutraceuticals (Herbal),Easy-X,Capsule,Ginseng,020-0002-94
210,Bexter Herbal & Nutraceuticals (Herbal),Gingobex,Capsule,Ginkgo,020-0003-94
211,Bexter Herbal & Nutraceuticals (Herbal),Fertil-Fast,Capsule,Coenzyme Q-10,020-044-94
212,Bexter Herbal & Nutraceuticals (Herbal),Bex-30,Syrup,Ginseng,020-040-94
213,Bexter Herbal & Nutraceuticals (Herbal),Bio Fort,Capsule,Probiotic Saccharomyces Boulardii,020-038-94
214,Bexter Herbal & Nutraceuticals (Herbal),Biofast,Capsule,Probiotic Saccharomyces Boulardii,020-036-94
215,Bexter Herbal & Nutraceuticals (Herbal),ST-Bex,Capsule,St. John's Wort,020-032-94
216,Bexter Herbal & Nutraceuticals (Herbal),Gluco-CMC,Tablet,Chondroitin Sulfate + Collagen II + Glucosamine Sulfate Potassium Chloride + MSM,020-128-94
217,Bexter Herbal & Nutraceuticals (Herbal),Varibex,Capsule,Valerian,020-0004-94
218,Bexter Herbal & Nutraceuticals (Herbal),Sily-X,Capsule,Silymarin,020-0005-94
219,Bexter Herbal & Nutraceuticals (Herbal),Xfort Plus,Tablet,Yohimbine Hydrochloride,020-0006-94
220,Bexter Herbal & Nutraceuticals (Herbal),Sonabex,Capsule,Pumpkin,020-0007-94
221,Bexter Herbal & Nutraceuticals (Herbal),Bexwort,Capsule,St. John's Wort,020-0008-94
222,Bexter Herbal & Nutraceuticals (Herbal),Exo-Plus,Capsule,Spirulina,020-017-94
223,Bexter Herbal & Nutraceuticals (Herbal),Nutribex,Capsule,Spirulina,020-018-94
224,Bexter Herbal & Nutraceuticals (Herbal),Pycnobex,Capsule,Pycnogenol,020-019-94
225,Bexter Herbal & Nutraceuticals (Herbal),Pilogel,Powder,Psyllium Husk,020-020-94
226,Bexter Herbal & Nutraceuticals (Herbal),Gynobex,Capsule,Black Cohosh,020-021-94
227,Bexter Herbal & Nutraceuticals (Herbal),Rim Rose-N,Capsule,Evening Primrose Oil,020-022-94
228,Bexter Herbal & Nutraceuticals (Herbal),Sweetex-N,Tablet,Stevia,020-023-94
229,Bexter Herbal & Nutraceuticals (Herbal),Eyfit,Capsule,Bilberry Fruits,020-025-94
230,Bexter Herbal & Nutraceuticals (Herbal),FM Plus,Capsule,Dongque,020-026-94
231,Bexter Herbal & Nutraceuticals (Herbal),Bliss Plus,Capsule,Aswagandha,020-027-94
232,Bexter Herbal & Nutraceuticals (Herbal),D-Fit,Capsule,Bitter Melon (Korola),020-028-94
233,Bexter Herbal & Nutraceuticals (Herbal),Sily Easy,Capsule,Silymarin,020-029-94
234,Bexter Herbal & Nutraceuticals (Herbal),Urofast,Capsule,Saw Palmetto,020-030-94
235,Bexter Herbal & Nutraceuticals (Herbal),Bio Easylax,Powder,Ispaghula Husk + Sona pata,020-031-94
236,Bexter Herbal & Nutraceuticals (Herbal),Monotab,Tablet,Red Clover,020-033-94
237,Bexter Herbal & Nutraceuticals (Herbal),Clover-N,Capsule,Red Clover,020-034-94
238,Bexter Herbal & Nutraceuticals (Herbal),B-Kill,Capsule,Probiotics,020-035-94
239,Bexter Herbal & Nutraceuticals (Herbal),Omi-3,Capsule,Omega 3 Fish Oil,020-037-94
240,Bexter Herbal & Nutraceuticals (Herbal),Planto-Fort,Powder,Plantago Ovata,020-039-94
241,Bexter Herbal & Nutraceuticals (Herbal),Ginseng,Syrup,Ginseng,020-040-94
242,Bexter Herbal & Nutraceuticals (Herbal),Biomax-70,Tablet,Ginkgo,020-041-94
243,Bexter Herbal & Nutraceuticals (Herbal),Neobex,Capsule,Ganoderma Lucidam,020-042-94
244,Bexter Herbal & Nutraceuticals (Herbal),Spermgain,Capsule,Coenzyme Q-10,020-043-94
245,Bexter Herbal & Nutraceuticals (Herbal),Testobex,Capsule,Fenugreek Extract,020-088-94
246,Bexter Herbal & Nutraceuticals (Herbal),Menaq7,Capsule,Menaquinone,020-089-94
247,Bexter Herbal & Nutraceuticals (Herbal),Acnenil,Oil (Liquid),Neem Oil Extract 2% + Tea Tre Oil 1%,020-090-94
248,Bexter Herbal & Nutraceuticals (Herbal),Ketobar,Soap Bar,Cade Oil + Coal Tar Oil / Pine Tar Oil,020-091-94
