SL,Name of the Manufacturer,Brand Name,Dosages Description,Generic Name and Strength,DAR
43,A. H. Janokallay Pharmaceuticals (Unani),Karmolin,Liquid,Arq Nankha,U-114-A-001
44,A. H. Janokallay Pharmaceuticals (Unani),Hematin,Liquid,Sharbat Faulad,U-114-A-002
45,A. H. Janokallay Pharmaceuticals (Unani),Hepazin,Liquid,Sharbat Deenar,U-114-A-003
46,A. H. Janokallay Pharmaceuticals (Unani),Renaton,Liquid,Sharbat Buzuri,U-114-A-004
47,A. H. Janokallay Pharmaceuticals (Unani),Sharbat Santara,Liquid,Sharbat Santara,U-114-A-005
48,A. H. Janokallay Pharmaceuticals (Unani),Sharbat Gauzaban,Liquid,Sharbat Gaozaban,U-114-A-006
49,A. H. Janokallay Pharmaceuticals (Unani),Vitolin,Liquid,Sharbat Seb,U-114-A-007
50,A. H. Janokallay Pharmaceuticals (Unani),Majoon Famalsafa,Semi-Solid,Majoon Falasefa,U-114-A-008
51,A. H. Janokallay Pharmaceuticals (Unani),Coflex,Liquid,Sharbat Ejaz,U-114-A-009
52,A. H. Janokallay Pharmaceuticals (Unani),Qurs Hazmina,Tablet,Qurs Hazmina,U-114-A-010
53,A. H. Janokallay Pharmaceuticals (Unani),Saffodin,Tablet,Qurs Pechish,U-114-A-011
54,A. H. Janokallay Pharmaceuticals (Unani),Castorin,Tablet,Habb-e Nishat,U-114-A-012
55,A. H. Janokallay Pharmaceuticals (Unani),Vitolex,Tablet,Habb-e Ambar Momiyaee,U-114-A-013
56,A. H. Janokallay Pharmaceuticals (Unani),Rheumacon,Tablet,Habb-e Suranjan,U-114-A-014
57,A. H. Janokallay Pharmaceuticals (Unani),Lomosis,Liquid,Sharbat Belgiri,U-114-A-015
58,A. H. Janokallay Pharmaceuticals (Unani),Leucomin,Liquid,Sharbat Niswan,U-114-A-016
59,A. H. Janokallay Pharmaceuticals (Unani),Vitolex,Capsule,Habb-e Ambar Momiyaee,U-114-A-017
60,A. H. Janokallay Pharmaceuticals (Unani),Castorin,Capsule,Habb-e Nishat,U-114-A-018
61,A. H. Janokallay Pharmaceuticals (Unani),Durex,Capsule,Habb-e Mumsik,U-114-A-019
62,A. H. Janokallay Pharmaceuticals (Unani),Sharbat Atfol,Liquid,Sharbat Atfal,U-114-A-020
63,A. H. Janokallay Pharmaceuticals (Unani),Sharbat Mosaffi,Liquid,Sharbat Musaffi,U-114-A-021
64,A. H. Janokallay Pharmaceuticals (Unani),Qurs Salajit,Tablet,Qurs Salajeet,U-114-A-022
65,A. H. Janokallay Pharmaceuticals (Unani),Sharbat Anjebab,Liquid,Sharbat Anjebar,U-114-A-023
66,A. H. Janokallay Pharmaceuticals (Unani),Habee Azaraki,Tablet,Habb-e Azaraqi,U-114-A-024
67,A. H. Janokallay Pharmaceuticals (Unani),Sharbat Kirmin,Liquid,Sharbat Kirmin,U-114-A-025
68,A. H. Janokallay Pharmaceuticals (Unani),Habbe Jirian,Tablet,Habb-e Jiryan,U-114-A-026
69,A. H. Janokallay Pharmaceuticals (Unani),Habbe Bawasir Damvhi,Tablet,Habb-e Bawaseer Damavi,U-114-A-027
70,A. H. Janokallay Pharmaceuticals (Unani),Habbe Bawasir Badi,Tablet,Habb-e Bawaseer Badi,U-114-A-028
71,A. H. Janokallay Pharmaceuticals (Unani),Sharbat Jiriani,Liquid,Sharbat Jiryani,U-114-A-029
72,A. H. Janokallay Pharmaceuticals (Unani),Habbe Mudir,Tablet,Habb-e Mudir,U-114-A-030
73,A. K. Laboratories (Unani),Sharbat Deenar,Liquid,Sharbat Deenar,U-311-A-001
74,A. K. Laboratories (Unani),Arq Nankha,Liquid,Arq Nankha,U-311-A-002
75,A. K. Laboratories (Unani),Sharbat Faulad,Liquid,Sharbat Faulad,U-311-A-003
76,A. K. Laboratories (Unani),A.K-Safe,Liquid,Sharbat Niswan,U-311-A-004
77,A. K. Laboratories (Unani),Sharbat Misali,Liquid,Sharbat Misali,U-311-A-005
78,A. K. Laboratories (Unani),Sharbat Jinsin,Liquid,Sharbat Jinsin,U-311-A-006
79,A. K. Laboratories (Unani),Sharbat Khaksi,Liquid,Sharbat Khaksi,U-311-A-007
80,A. K. Laboratories (Unani),Amabel,Liquid,Sharbat Belgiri,U-311-A-008
81,A. K. Laboratories (Unani),A.K-Hazmina,Liquid,Sharbat Hazmina,U-311-A-009
82,A. K. Laboratories (Unani),Sharbat Tamarind,Liquid,Sharbat Tamarind,U-311-A-010
83,A. K. Laboratories (Unani),Sharbat Dimaghi,Liquid,Sharbat Dimaghi,U-311-A-011
84,A. K. Laboratories (Unani),Cyline,Liquid,Sharbat Musaffi,U-311-A-012
85,A. K. Laboratories (Unani),Sharbat Atfal,Liquid,Sharbat Atfal,U-311-A-013
86,A. K. Laboratories (Unani),Afcin,Liquid,Sharbat Sadar,U-311-A-014
87,A. K. Laboratories (Unani),Arq Zeera,Liquid,Arq Zeera,U-311-A-015
88,Active Unani Laboratories,Crepty,Capsule,Habb-e Hayaeen Murakkab,U-288-A-029
89,Active Unani Laboratories,Fatigo,Capsule,Garlic Pearls,U-288-A-030
90,Active Unani Laboratories,Febia,Liquid,Sharbat Shefa,U-288-A-031
91,Active Unani Laboratories,Sorbolin,Tablet,Habb-e Musaffi,U-288-A-032
92,Active Unani Laboratories,Calsure Plus,Tablet,Habb-e Hayateen Murakkab Jawahirdar,U-288-A-033
93,Active Unani Laboratories,Deepgel,Malam,Marham Zaituni,U-288-A-034
94,Active Unani Laboratories,Marham Raskapur,Malam,Marham Raskapur,U-288-A-035
95,Active Unani Laboratories,Zalik,Malam,Zimad Eczema,U-288-A-036
96,Active Unani Laboratories,Jowarish Kundur,Semi-Solid,Jowarish Kundur,U-288-A-037
97,Active Unani Laboratories,Sorbolin,Liquid,Sharbat Musaffi,U-288-A-038
98,Active Unani Laboratories,Qurs Awja,Capsule,Qurs Awja,U-288-A-040
99,Active Unani Laboratories,Ginkgo Biloba,Capsule,Ginkgo Biloba 120 mg,U-288-A-041
100,Active Unani Laboratories,Ginseng,Capsule,Ginseng,U-288-A-042
101,Active Unani Laboratories,Majoon Mughalliz,Semi-Solid,Majoon Mughalliz,U-288-A-043
102,Active Unani Laboratories,Majoon Ushba,Semi-Solid,Majoon Ushba,U-288-A-044
103,Active Unani Laboratories,Active Amloki Plus,Liquid,Sharbat Amla,U-288-A-029
104,Active Unani Laboratories,Sufzin,Powder,Sufoof Humuzin,U-288-A-001
105,Active Unani Laboratories,Rosat,Capsule,Qurs Espand,U-288-A-002
106,Active Unani Laboratories,Hepnar,Liquid,Sharbat Deenar,U-288-A-003
107,Active Unani Laboratories,Acsun,Liquid,Arq Lahsun,U-288-A-004
108,Active Unani Laboratories,Heptar,Tablet,Habb-e Yarqan,U-288-A-005
109,Active Unani Laboratories,Liptas,Tablet,Qurs Surfin,U-288-A-006
110,Active Unani Laboratories,Lilex,Tablet,Qurs Mulayin,U-288-A-007
111,Active Unani Laboratories,Febia,Tablet,Habb-e Shefa,U-288-A-008
112,Active Unani Laboratories,Wardi,Tablet,Qurs Deedan,U-288-A-009
113,Active Unani Laboratories,Atoril,Capsule,Qurs Pechish,U-288-A-010
114,Active Unani Laboratories,Nalba,Liquid,Sharbat Santara,U-288-A-011
115,Active Unani Laboratories,Aviva,Liquid,Sharbat Seb,U-288-A-012
116,Active Unani Laboratories,Regu-M,Liquid,Sharbat Niswan,U-288-A-013
117,Active Unani Laboratories,Dexoran,Liquid,Sharbat Faulad,U-288-A-014
118,Active Unani Laboratories,Rodam,Liquid,Arq Nankha,U-288-A-015
119,Active Unani Laboratories,Activas,Liquid,Sharbat Ejaz,U-288-A-016
120,Active Unani Laboratories,Sharbat Belgiri,Liquid,Sharbat Belgiri,U-288-A-017
121,Active Unani Laboratories,Acmin,Liquid,Sharbat Kirmin,U-288-A-018
122,Active Unani Laboratories,Avindo,Liquid,Sharbat Tiflin,U-288-A-019
123,Active Unani Laboratories,Atomex,Liquid,Sharbat Gaozaban,U-288-A-020
124,Active Unani Laboratories,P-5,Tablet,Habb-e Papita,U-288-A-021
125,Active Unani Laboratories,Zosat,Tablet,Habb-e Nishat,U-288-A-022
126,Active Unani Laboratories,Marve,Liquid,Habb-e Marwareedi,U-288-A-023
127,Active Unani Laboratories,Azar,Tablet,Habb-e Azaraqi,U-288-A-024
128,Active Unani Laboratories,Vigo-A,Capsule,Habb-e Munish,U-288-A-025
129,Active Unani Laboratories,Sypon,Liquid,Sharbat Hazmina,U-288-A-026
130,Active Unani Laboratories,REO-A,Capsule,Habb-e Suranjan,U-288-A-027
131,Adex Pharmaceuticals (Unani),Arq Maullaham,Liquid,Arq Maul Lahm,U-111-A-001
132,Adex Pharmaceuticals (Unani),Dyrodex,Liquid,Sharbat Belgiri,U-111-A-002
133,Adex Pharmaceuticals (Unani),Alkodex,Liquid,Sharbat Tamarind,U-111-A-003
134,Adex Pharmaceuticals (Unani),Coughdex,Liquid,Sharbat Ejaz,U-111-A-004
135,Adex Pharmaceuticals (Unani),Etrifal Deedan,Liquid,Etrifal Deedan,U-111-A-005
136,Adex Pharmaceuticals (Unani),Hemofresh,Liquid,Sharbat Musaffi,U-111-A-006
137,Adex Pharmaceuticals (Unani),Digipep,Liquid,Arq Hazim,U-111-A-007
138,Adex Pharmaceuticals (Unani),Dexavit,Liquid,Sharbat Seb,U-111-A-008
139,Adex Pharmaceuticals (Unani),Irodex,Liquid,Sharbat Faulad,U-111-A-009
140,Adex Pharmaceuticals (Unani),Livodex,Liquid,Sharbat Deenar,U-111-A-010
141,Adex Pharmaceuticals (Unani),Grisol,Liquid,Sharbat Tiflin,U-111-A-011
142,Adex Pharmaceuticals (Unani),Leucofresh,Liquid,Sharbat Sailan,U-111-A-012
143,Adex Pharmaceuticals (Unani),Gaudex,Liquid,Habb-e Suranjan,U-111-A-013
144,Adex Pharmaceuticals (Unani),Rhemodex,Liquid,Habb-e Nishat,U-111-A-014
145,Adex Pharmaceuticals (Unani),Fevadex,Liquid,Arq Bukhar,U-111-A-015
146,Adex Pharmaceuticals (Unani),Hormodex,Liquid,Sharbat Jinsin,U-111-A-016
147,Adhunik Laboratories (Unani),Dunik,Capsule,Habb-e Ambar Momiyaee,U-42-A-020
148,Adhunik Laboratories (Unani),Libinik,Capsule,Habb-e Nishat,U-42-A-021
149,Adhunik Laboratories (Unani),Menrin,Capsule,Habb-e Mumsik,U-42-A-022
150,Adhunik Laboratories (Unani),Safnik,Capsule,Habb-e Musaffi,U-42-A-023
151,Adhunik Laboratories (Unani),CAlup,Capsule,Habb-e Azaraqi,U-42-A-024
152,Adhunik Laboratories (Unani),Prevenik,Capsule,Habb-e Munish,U-42-A-025
153,Adhunik Laboratories (Unani),Utonik,Capsule,Qurs Rehmin,U-42-A-026
154,Adhunik Laboratories (Unani),No Piles,Capsule,Habb-e Bawaseer Badi,U-42-A-027
155,Adhunik Laboratories (Unani),Ambor,Capsule,Habb-e Ambari,U-42-A-028
156,Adhunik Laboratories (Unani),NONE,Capsule,Habb-e Jiryan,U-42-A-029
157,Adhunik Laboratories (Unani),Aspane,Capsule,Qurs Espand,U-42-A-030
158,Adhunik Laboratories (Unani),Obenik,Tablet,Habb-e Tinkar,U-42-A-031
159,Adhunik Laboratories (Unani),Apsil,Tablet,Qurs Hazmina,U-42-A-032
160,Adhunik Laboratories (Unani),Arthonia,Tablet,Habb-e Suranjan,U-42-A-033
161,Adhunik Laboratories (Unani),DD Nil,Tablet,Qurs Pechish,U-42-A-034
162,Adhunik Laboratories (Unani),Adcid,Tablet,Qurs Rhubarb,U-42-A-035
163,Adhunik Laboratories (Unani),Papanik,Tablet,Habb-e Papita,U-42-A-036
164,Adhunik Laboratories (Unani),CC Nil,Tablet,Qurs Surfin,U-42-A-037
165,Adhunik Laboratories (Unani),Garlinik,Tablet,Qurs Garlitab,U-42-A-038
166,Adhunik Laboratories (Unani),Diabenik,Tablet,Qurs Ziabit,U-42-A-039
167,Adhunik Laboratories (Unani),Safnik,Liquid,Sharbat Musaffi,U-42-A-040
168,Adhunik Laboratories (Unani),Ladinil,Liquid,Sharbat Niswan,U-42-A-041
169,Adhunik Laboratories (Unani),Aptov,Liquid,Sharbat Misali,U-42-A-017
170,Adhunik Laboratories (Unani),EY-30,Liquid,Sharbat Jinsin,U-42-A-011
171,Adhunik Laboratories (Unani),AD-Dinar,Liquid,Sharbat Deenar,U-42-A-012
172,Adhunik Laboratories (Unani),Apsil,Liquid,Sharbat Hazmina,U-42-A-007
173,Adhunik Laboratories (Unani),AD-Ejaz,Liquid,Sharbat Ejaz,U-42-A-006
174,Adhunik Laboratories (Unani),Ruchita,Liquid,Sharbat Seb,U-42-A-010
175,Adhunik Laboratories (Unani),Hemonik,Liquid,Sharbat Faulad,U-42-A-013
176,Adhunik Laboratories (Unani),Dysnil,Liquid,Sharbat Belgiri,U-42-A-002
177,Adhunik Laboratories (Unani),Apzer,Liquid,Arq Nankha,U-42-A-009
178,Adhunik Laboratories (Unani),AD-Mint,Liquid,Arq Poodina,U-42-A-014
179,Adhunik Laboratories (Unani),AD-Sun,Liquid,Sharbat Santara,U-42-A-015
180,Adhunik Laboratories (Unani),Arq Ajeeb,Liquid,Arq Ajeeb,U-42-A-019
181,Adhunik Laboratories (Unani),Majoon Suparipak,Semi-Solid,Majoon Suparipak,U-42-A-016
182,Adhunik Laboratories (Unani),Marham Ajeeb,Powder,Marham Ajeeb,U-42-A-008
183,Adora Laboratories (Unani),Qurs Muhazzil,Capsule,Qurs Muhazzil,U-166-A-037
184,Adora Laboratories (Unani),Qurs Ziabit,Tablet,Qurs Ziabit,U-166-A-038
185,Adora Laboratories (Unani),Qurs Pechish,Tablet,Qurs Pechish,U-166-A-039
186,Adora Laboratories (Unani),Habbe Tinkar,Capsule,Habb-e Tinkar,U-166-A-040
187,Adora Laboratories (Unani),Habbe Jalinoos,Capsule,Habb-e Jalinoos,U-166-A-041
188,Adora Laboratories (Unani),Sharbat Amla,Liquid,Sharbat Amla,U-166-A-042
189,Adora Laboratories (Unani),Sharbat Vasac,Liquid,Sharbat Vasac,U-166-A-043
190,Adora Laboratories (Unani),Majoon Dabeedul Ward,Semi-Solid,Majoon Dabeedul Ward,U-166-A-044
191,Adora Laboratories (Unani),Adobid,Liquid,Sharbat Misali,U-166-A-017
192,Adora Laboratories (Unani),Doracal,Tablet,Kushta Khare Mohra,U-166-A-018
193,Adora Laboratories (Unani),Adocare,Capsule,Habb-e Papita,U-166-A-019
194,Adora Laboratories (Unani),Adomunis,Capsule,Habb-e Munish,U-166-A-020
195,Adora Laboratories (Unani),Adozed,Tablet,Qurs Muqavvi Khas,U-166-A-021
196,Adora Laboratories (Unani),Adojin,Liquid,Sharbat Jinsin,U-166-A-005
197,Adora Laboratories (Unani),Adoseb,Liquid,Sharbat Seb,U-166-A-006
198,Adora Laboratories (Unani),Adozim,Liquid,Arq Hazim,U-166-A-007
199,Adora Laboratories (Unani),Adonisa,Liquid,Sharbat Nisa,U-166-A-008
200,Adora Laboratories (Unani),Adomushki,Cream,Tila Mushki,U-166-A-009
201,Adora Laboratories (Unani),Satimulus,Capsule,Habb-e Nishat,U-166-A-010
202,Adora Laboratories (Unani),Adojan,Capsule,Habb-e Suranjan,U-166-A-011
203,Adora Laboratories (Unani),Adoreed,Capsule,Habb-e Marwareedi,U-166-A-012
204,Adora Laboratories (Unani),Adofa,Capsule,Habb-e Shefa,U-166-A-014
205,Adora Laboratories (Unani),Adobar,Capsule,Habb-e Ambar Momiyaee,U-166-A-013
206,Adora Laboratories (Unani),Adodir,Tablet,Habb-e Mudir,U-166-A-015
207,Adora Laboratories (Unani),Adoril,Tablet,Habb-e Muqil,U-166-A-016
208,Adora Laboratories (Unani),Adosaffi,Liquid,Sharbat Musaffi,U-166-A-022
209,Adora Laboratories (Unani),Adodim,Liquid,Sharbat Dimaghi,U-166-A-023
210,Adora Laboratories (Unani),Adoton,Liquid,Sharbat Hayateen Murakkab,U-166-A-024
211,Adora Laboratories (Unani),Adomina,Liquid,Arq Lahmina,U-166-A-025
212,Adora Laboratories (Unani),Adonix,Capsule,Habb-e Mumsik,U-166-A-027
213,Adora Laboratories (Unani),Adochirota,Capsule,Chirata,U-166-A-028
214,Adora Laboratories (Unani),Adospirulina,Capsule,Spirulina,U-166-A-029
215,Adora Laboratories (Unani),Adoginseng,Capsule,Ginseng,U-166-A-030
216,Adora Laboratories (Unani),Adolex,Tablet,Habb-e Hayateen Murakkab Jawahirdar,U-166-A-031
217,Adora Laboratories (Unani),Murazin,Tablet,Habb-e Hayaeen Murakkab,U-166-A-032
218,Adora Laboratories (Unani),Adomadar,Tablet,Habb-e Madar,U-166-A-033
219,Adora Laboratories (Unani),Sadacol,Tablet,Kushta Sadaf,U-166-A-034
220,Adora Laboratories (Unani),Adonix,Semi-Solid,Khamira Gawzaban,U-166-A-035
221,Adora Laboratories (Unani),Adogold,Semi-Solid,Majoon Arad-e Khurma,U-166-A-036
222,Adora Laboratories (Unani),Adoamla,Oil (Liquid),Rowghan Amla,U-166-A-026
223,Adora Laboratories (Unani),Sharbat Sehat Afza,Liquid,Sharbat Sehat-Afza,U-166-A-045
224,Adora Laboratories (Unani),Sharbat Mavez,Liquid,Sharbat Mavez,U-166-A-046
225,Adora Laboratories (Unani),Isabgul Plane,Powder,Isabgul Plane,U-166-A-047
226,Adora Laboratories (Unani),Sufoof Himzin,Capsule,Sufoof Himzin,U-166-A-048
227,Adora Laboratories (Unani),Qurs Hazmol,Tablet,Qurs Hazmol,U-166-A-049
228,Adora Laboratories (Unani),Adojaz,Liquid,Sharbat Ejaz,U-166-A-001
229,Adora Laboratories (Unani),Adliv,Liquid,Sharbat Deenar,U-166-A-002
230,Adora Laboratories (Unani),Buzuri,Liquid,Sharbat Buzuri,U-166-A-003
231,Adora Laboratories (Unani),Adokha,Liquid,Arq Nankha,U-166-A-004
232,Adron Pharmaceutical (Unani),Sharbar Bujuri,Liquid,Sharbat Buzuri,U-087-A-001
233,Adron Pharmaceutical (Unani),Arq Nankha,Liquid,Arq Nankha,U-087-A-002
234,Adron Pharmaceutical (Unani),Sharbat Ejaz,Liquid,Sharbat Ejaz,U-087-A-003
235,Adron Pharmaceutical (Unani),AD Babycar,Liquid,Sharbat Atfal,U-87-A-005
236,Adron Pharmaceutical (Unani),Adrovit Plus,Liquid,Sharbat Seb,U-87-A-004
237,Aid Health Laboratories (Unani),Adozma,Ointment,Zimad Eczema,U-104-A-004
238,Aid Health Laboratories (Unani),Asper,Liquid,Arq Ajeeb,U-104-A-001
239,Aid Health Laboratories (Unani),Asfi,Liquid,Sharbat Musaffi,U-104-A-003
240,Aid Health Laboratories (Unani),Apon,Liquid,Sharbat Sadar,U-104-A-002
241,Aid Health Laboratories (Unani),Rose Aid,Liquid,Sharbat Buzuri,U-104-A-005
242,Aid Health Laboratories (Unani),Adrin,Liquid,Sharbat Ejaz,U-104-A-006
243,Aid Health Laboratories (Unani),Aris,Liquid,Sharbat Hazmina,U-104-A-007
244,Aid Health Laboratories (Unani),Ado King,Liquid,Sharbat Sailan,U-104-A-008
245,Aid Health Laboratories (Unani),Aprotic,Liquid,Sharbat Misali,U-104-A-009
246,Aid Health Laboratories (Unani),Adiner,Liquid,Sharbat Deenar,U-104-A-010
247,Aid Health Laboratories (Unani),Adoxim,Liquid,Sharbat Belgiri,U-104-A-011
248,Aid Health Laboratories (Unani),Adosin,Liquid,Sharbat Jinsin,U-104-A-012
249,Aid Health Laboratories (Unani),Aidva,Liquid,Sharbat Tulsi,U-104-A-013
250,Aid Health Laboratories (Unani),Aid Basok,Liquid,Sharbat Vasac,U-104-A-014
251,Aid Health Laboratories (Unani),Brnoaid,Liquid,Sharbat Amla,U-104-A-032
252,Aid Health Laboratories (Unani),Lactovit,Liquid,Sharbat Faulad Jamuni,U-104-A-033
253,Aid Health Laboratories (Unani),Actorvit,Liquid,Sharbat Samarat,U-104-A-034
254,Aid Health Laboratories (Unani),Natravit,Liquid,Sharbat Mavez,U-104-A-035
255,Aid Health Laboratories (Unani),Cardoaid,Liquid,Sharbat Gaozaban,U-104-A-036
256,Aid Health Laboratories (Unani),Hexid,Capsule,Habb-e Kabid Naushadri,U-104-A-037
257,Aid Health Laboratories (Unani),H Cal-D,Capsule,Kushta Khare Mohra,U-104-A-038
258,Aid Health Laboratories (Unani),Ginsoaid,Capsule,Ginseng,U-104-A-039
259,Aid Health Laboratories (Unani),Maxgel,Capsule,Sufoof Ahmarin,U-104-A-040
260,Aid Health Laboratories (Unani),Adomil,Capsule,Sufoof Sheer-Afza,U-104-A-041
261,Aid Health Laboratories (Unani),Max King,Capsule,Habb-e Ahmar,U-104-A-042
262,Aid Health Laboratories (Unani),Long Fast,Capsule,Qurs Muqavvi Khas,U-104-A-043
263,Aid Health Laboratories (Unani),Dnex-G,Capsule,Ginkgo Biloba,U-104-A-044
264,Aid Health Laboratories (Unani),Qurs Pudina,Capsule,Qurs Pudina,U-104-A-045
265,Aid Health Laboratories (Unani),Vitanus,Capsule,Qurs Faulad,U-104-A-046
266,Aid Health Laboratories (Unani),Lactogel,Powder,Sufoof Qabzkusha,U-104-A-047
267,Aid Health Laboratories (Unani),Enogel,Powder,Sufoof Kashnizi,U-104-A-048
268,Aid Health Laboratories (Unani),Aid-Dental,Liquid,Sanoon Mulook,U-104-A-049
269,Aid Health Laboratories (Unani),Jakline,Liquid,Sanoon Missi,U-104-A-050
270,Aid Health Laboratories (Unani),White Beauty,Lozenge,Ubtan Jamali,U-104-A-051
271,Aid Health Laboratories (Unani),Joy Plus,Halua,Majoon Arad-e Khurma,U-104-A-053
272,Aid Health Laboratories (Unani),Painux,Capsule,Qurs Awja,U-104-A-015
273,Aid Health Laboratories (Unani),Amlazol,Capsule,Qurs Hazmina,U-104-A-016
274,Aid Health Laboratories (Unani),Aid Garlic,Capsule,Qurs Garlitab,U-104-A-017
275,Aid Health Laboratories (Unani),Aid Hazmol,Capsule,Qurs Hazmol,U-104-A-018
276,Aid Health Laboratories (Unani),Slimaid,Capsule,Qurs Muhazzil,U-104-A-019
277,Aid Health Laboratories (Unani),Uriaid,Capsule,Qurs Salajeet,U-104-A-020
278,Aid Health Laboratories (Unani),Penicap,Capsule,Habb-e Ambar Momiyaee,U-104-A-021
279,Aid Health Laboratories (Unani),Spermacar,Capsule,Habb-e Jiryan,U-104-A-022
280,Aid Health Laboratories (Unani),Vigomen,Capsule,Habb-e Mumsik,U-104-A-023
281,Aid Health Laboratories (Unani),Aid Munish,Capsule,Habb-e Munish,U-104-A-024
282,Aid Health Laboratories (Unani),Erectid,Capsule,Habb-e Nishat,U-104-A-025
283,Aid Health Laboratories (Unani),Aidcal,Capsule,Kushta Sadaf,U-104-A-026
284,Aid Health Laboratories (Unani),Aidvita,Capsule,Soya Lecithin Vitamineral Mix,U-104-A-027
285,Aid Health Laboratories (Unani),Aidlina,Capsule,Spirulina,U-104-A-028
286,Aid Health Laboratories (Unani),Viton-A,Capsule,Habb-e Hayateen Murakkab Jawahirdar,U-104-A-030
287,Aid Health Laboratories (Unani),\Aidmina,Capsule,Habb-e Hayaeen Murakkab,U-104-A-029
288,Aid Health Laboratories (Unani),Aid OR Saline,Powder,Aab-e Namak Shireen,U-104-A-031
289,Aidhill Laboratories (Unani),Gasham,Liquid,Arq Nankha,U-080-A-001
290,Aidhill Laboratories (Unani),Shamco,Liquid,Sharbat Ejaz,U-080-A-002
291,Aidhill Laboratories (Unani),Dusham,Capsule,Habb-e Nishat,U-080-A-013
292,Aidhill Laboratories (Unani),Garsham,Capsule,Qurs Garlitab,U-080-A-014
293,Aidhill Laboratories (Unani),J-Sham,Capsule,Qurs Awja,U-080-A-015
294,Aidhill Laboratories (Unani),Hazmo-SH,Capsule,Qurs Hazmol,U-080-A-016
295,Aidhill Laboratories (Unani),Coldsham,Capsule,Qurs Surfin,U-080-A-017
