name_of_the_manufacturer,brand_name,dosages_description,generic_name_and_strength,dar,medicine_system,use_for
A B LABORATORIES (AYURVEDIC),AB Cid,Liquid,Amalaki Rasayan,AY-46-A-021,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Spermex,Semi-Solid,Sukrasanjibani Modak,AY-46-A-022,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Memo Care,Capsule,Saraswata Churna,AY-46-A-023,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Whitenil,Capsule,Pushyanugn Churna,AY-46-A-024,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Pylo-9,Capsule,Arshahara Bati,AY-46-A-025,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Zymosafe,Liquid,Mustakarista,AY-46-A-001,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),AB Card,Liquid,Arjunarista,AY-46-A-002,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),AB-Balarist,Liquid,Balarista,AY-46-A-003,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),AB Cough,Liquid,Draksharista,AY-46-A-004,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Femisafe,Liquid,Ashokarista,AY-46-A-005,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Slinoba,Capsule,Neem,AY-46-A-043,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Diamo,Capsule,Jambolan / Syzygium,AY-46-A-044,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Flatlo,Capsule,Kurchi,AY-46-A-045,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Heparise,Capsule,Kalamegh,AY-46-A-046,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Aslab,Capsule,Astragalus,AY-46-A-042,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Tinocor,Liquid,Amritarista,AY-46-A-047,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),AB Digenor,Liquid,Jirakadyarista / Jirakarista,AY-46-A-048,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Licum,Capsule,Garlic,AY-46-A-049,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Eczemin,Ointment,Dadru Dalan,AY-46-A-050,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Tornyl,Ointment,Batrakhashi Taila,AY-46-A-051,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Pectin,Capsule,Pomegranate,AY-46-A-052,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Helen,Capsule,Water Cress,AY-46-A-053,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Edebo,Capsule,Punarnava,AY-46-A-054,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Marmel,Semi-Solid,Chyabanprash,AY-46-A-055,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Mehonil,Liquid,Mehabajra Rasayan / Mehari,AY-46-A-026,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Itchicon,Liquid,Saribadyarista,AY-46-A-027,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Urisov,Liquid,Chandanasav,AY-46-A-028,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),ABton,Liquid,Dasamularista,AY-46-A-029,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Dysoton,Liquid,Kutajadi Kwath,AY-46-A-030,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),AB-Basok,Liquid,Vasakarista / Vasakasav,AY-46-A-031,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Vitasov,Liquid,Aravindasav,AY-46-A-032,Ayurvedic,Not Specified
A B LABORATORIES (AYURVEDIC),Pylosafe,Liquid,Abhayarista,AY-46-A-033,Ayurvedic,Not Specified
A H LABORATORIES (AY),AH Bico Vit,Liquid,Balarista,AY-18-A-002,Ayurvedic,Not Specified
A H LABORATORIES (AY),A-Peptra-H,Liquid,Mustakarista,AY-18-A-001,Ayurvedic,Not Specified
A H LABORATORIES (AY),AH-Alkonil,Liquid,Chandanasav,AY-18-A-003,Ayurvedic,Not Specified
A H LABORATORIES (AY),AH Adato-V,Liquid,Vasakarista / Vasakasav,AY-18-A-004,Ayurvedic,Not Specified
A H LABORATORIES (AY),A Liv-1,Liquid,Kalameghasav,AY-18-A-005,Ayurvedic,Not Specified
A H LABORATORIES (AY),A-Card-H,Liquid,Arjunarista,AY-18-A-006,Ayurvedic,Not Specified
A H LABORATORIES (AY),AH-Leucocef,Liquid,Patrangasav,AY-18-A-007,Ayurvedic,Not Specified
A H LABORATORIES (AY),AH Gastocef,Kwath,Dasanga Kwath,AY-18-A-008,Ayurvedic,Not Specified
A H LABORATORIES (AY),AT Plus-30,Liquid,Bhimras,AY-18-A-009,Ayurvedic,Not Specified
A H LABORATORIES (AY),AH Vita-10 Plus,Liquid,Dasamularista,AY-18-A-010,Ayurvedic,Not Specified
A H LABORATORIES (AY),AH-Cef D Plus,Liquid,Kutajarista,AY-18-A-011,Ayurvedic,Not Specified
A H LABORATORIES (AY),AH-Genton,Liquid,Sanjivani Rasayan,AY-18-A-012,Ayurvedic,Not Specified
A H LABORATORIES (AY),AH-Vit,Liquid,Louhasav,AY-18-A-013,Ayurvedic,Not Specified
A H LABORATORIES (AY),AH Dai-B,Liquid,Jambadyarista,AY-18-A-014,Ayurvedic,Not Specified
A H LABORATORIES (AY),AH-Cef-B,Liquid,Saribadi,AY-18-A-015,Ayurvedic,Not Specified
A H LABORATORIES (AY),AH-Grapep-Plus,Liquid,Aravindasav,AY-18-A-016,Ayurvedic,Not Specified
A H LABORATORIES (AY),AH-Krimi-Nil,Liquid,Mustakadi Kwath,AY-18-A-017,Ayurvedic,Not Specified
A H LABORATORIES (AY),AH-Dashan,Powder,Dashan Sanskar Churna,AY-18-A-018,Ayurvedic,Not Specified
A. N. LABORATORIES AYURVEDIC LTD.,A. N. Plex,Liquid,Amalaki Rasayan,AY-018-A-001,Ayurvedic,Not Specified
A. N. LABORATORIES AYURVEDIC LTD.,Dia. V,Liquid,Jambadyarista,AY-018-A-002,Ayurvedic,Not Specified
A. N. LABORATORIES AYURVEDIC LTD.,A. V. Plex,Liquid,Sanjivani Rasayan,AY-018-A-003,Ayurvedic,Not Specified
A. N. LABORATORIES AYURVEDIC LTD.,Alpha plus,Oil (Liquid),Jatyadya Taila,AY-018-A-004,Ayurvedic,Not Specified
A. N. LABORATORIES AYURVEDIC LTD.,A. N. Cof,Liquid,Vasakarista / Vasakasav,AY-018-A-005,Ayurvedic,Not Specified
A. N. LABORATORIES AYURVEDIC LTD.,Rakmax,Liquid,Saribadyarista,AY-18-A-006,Ayurvedic,Not Specified
A. N. LABORATORIES AYURVEDIC LTD.,Regliv,Syrup,Rohitakarista,AY-18-A-007,Ayurvedic,Not Specified
A. N. LABORATORIES AYURVEDIC LTD.,A-Lo,Liquid,Aswagandharista,AY-18-A-008,Ayurvedic,Not Specified
A. N. LABORATORIES AYURVEDIC LTD.,ALN,Liquid,Chandanasav,AY-18-A-009,Ayurvedic,Not Specified
A. N. LABORATORIES AYURVEDIC LTD.,Arzu-V,Liquid,Arjunarista,AY-18-A-010,Ayurvedic,Not Specified
A. N. LABORATORIES AYURVEDIC LTD.,LQ-V,Liquid,Ashokarista,AY-18-A-012,Ayurvedic,Not Specified
A. N. LABORATORIES AYURVEDIC LTD.,Hemo,Liquid,Balarista,AY-18-A-013,Ayurvedic,Not Specified
A. N. LABORATORIES AYURVEDIC LTD.,Famiva,Liquid,Draksharista,AY-18-A-015,Ayurvedic,Not Specified
A. N. LABORATORIES AYURVEDIC LTD.,Zito,Liquid,Dasamularista,AY-18-A-016,Ayurvedic,Not Specified
A. N. LABORATORIES AYURVEDIC LTD.,Lox,Liquid,Ginseng,AY-18-A-017,Ayurvedic,Not Specified
A.R. LABORATORIES (AY),Terbula,Liquid,Dasamularista,AY-92-A-001,Ayurvedic,Not Specified
A.R. LABORATORIES (AY),Wifera,Liquid,Aswagandharista,AY-92-A-002,Ayurvedic,Not Specified
A.R. LABORATORIES (AY),Vinira,Liquid,Draksharista,AY-92-A-003,Ayurvedic,Not Specified
A.R. LABORATORIES (AY),Sukrazin,Semi-Solid,Sukrasanjibani Modak,AY-92-A-004,Ayurvedic,Not Specified
A.R. LABORATORIES (AY),Sharika,Liquid,Ashokarista,AY-92-A-006,Ayurvedic,Not Specified
A.R. LABORATORIES (AY),Cydus,Liquid,Mustakarista,AY-92-A-007,Ayurvedic,Not Specified
A.R. LABORATORIES (AY),Aravindasav,Liquid,Aravindasav,AY-92-A-008,Ayurvedic,Not Specified
A.R. LABORATORIES (AY),D-Baluncef,Tablet,Bahu Mutrantak Ras,AY-92-A-009,Ayurvedic,Not Specified
A.R. LABORATORIES (AY),Viglash,Tablet,Ratibilas Bati,AY-92-A-010,Ayurvedic,Not Specified
A.R. LABORATORIES (AY),A.R. Vigo,Tablet,Joubansatadal,AY-92-A-011,Ayurvedic,Not Specified
A.R. LABORATORIES (AY),Arom,Tablet,Dhatri Louha (Bhabna),AY-92-A-012,Ayurvedic,Not Specified
ACI AYURVEDIC,Aswagandharista,Liquid,Aswagandharista,AY-65-A-1,Ayurvedic,Not Specified
ACI AYURVEDIC,Chandanasav,Liquid,Chandanasav,AY-65-A-2,Ayurvedic,Not Specified
ACI AYURVEDIC,Saribadyarista,Liquid,Saribadyarista,AY-65-A-3,Ayurvedic,Not Specified
ACI AYURVEDIC,Dasamularista,Liquid,Dasamularista,AY-65-A-4,Ayurvedic,Not Specified
ACI AYURVEDIC,Patrangasav,Liquid,Patrangasav,AY-65-A-5,Ayurvedic,Not Specified
ACI AYURVEDIC,Balarista,Liquid,Balarista,AY-65-A-6,Ayurvedic,Not Specified
AD AYURVEDIC LABORATORIES LTD.,AD-Losi,Liquid,Kalameghasav,AY-200-A-001,Ayurvedic,Not Specified
AD AYURVEDIC LABORATORIES LTD.,AD-Pepsia,Liquid,Mustakarista,AY-200-A-002,Ayurvedic,Not Specified
AD AYURVEDIC LABORATORIES LTD.,Balaron,Liquid,Balarista,AY-200-A-003,Ayurvedic,Not Specified
AD AYURVEDIC LABORATORIES LTD.,AD-Zyme,Liquid,Jamani Arka,AY-200-A-004,Ayurvedic,Not Specified
AD AYURVEDIC LABORATORIES LTD.,AD-Rone,Liquid,Rohitakarista,AY-200-A-006,Ayurvedic,Not Specified
AD AYURVEDIC LABORATORIES LTD.,Mina-Care,Liquid,Aravindasav,AY-200-A-007,Ayurvedic,Not Specified
AD AYURVEDIC LABORATORIES LTD.,AD-Cope,Liquid,Vasakarista / Vasakasav,AY-200-A-008,Ayurvedic,Not Specified
AD AYURVEDIC LABORATORIES LTD.,AD-Urita,Liquid,Amalaki Rasayan,AY-200-A-009,Ayurvedic,Not Specified
AD AYURVEDIC LABORATORIES LTD.,AD-Fo,Liquid,Jambadyarista,AY-200-A-010,Ayurvedic,Not Specified
AD AYURVEDIC LABORATORIES LTD.,AD-Caris,Liquid,Arjunarista,AY-200-A-011,Ayurvedic,Not Specified
AD AYURVEDIC LABORATORIES LTD.,Mideo Min,Syrup,Sanjivani Rasayan,AY-200-A-012,Ayurvedic,Not Specified
AD AYURVEDIC LABORATORIES LTD.,Neuroni,Syrup,Aswagandharista,AY-200-A-013,Ayurvedic,Not Specified
AD AYURVEDIC LABORATORIES LTD.,Chandanasav,Syrup,Chandanasav,AY-200-A-014,Ayurvedic,Not Specified
AD AYURVEDIC LABORATORIES LTD.,AD-Mix,Syrup,Dasamularista,AY-200-A-015,Ayurvedic,Not Specified
AD AYURVEDIC LABORATORIES LTD.,Licourine,Liquid,Patrangasav,AY-200-A-005,Ayurvedic,Not Specified
ADLAB AYURVEDIC,Mustakarista,Liquid,Mustakarista,AY-181-A-001,Ayurvedic,Not Specified
ADLAB AYURVEDIC,Ashokarista,Liquid,Ashokarista,AY-181-A-002,Ayurvedic,Not Specified
ADLAB AYURVEDIC,Patrangasav,Liquid,Patrangasav,AY-181-A-003,Ayurvedic,Not Specified
ADLAB AYURVEDIC,Balarista,Liquid,Balarista,AY-181-A-004,Ayurvedic,Not Specified
ADLAB AYURVEDIC,Arjunarista,Liquid,Arjunarista,AY-181-A-005,Ayurvedic,Not Specified
ADLAB AYURVEDIC,Kutajarista,Liquid,Kutajarista,AY-181-A-006,Ayurvedic,Not Specified
ADLAB AYURVEDIC,Basakarista,Liquid,Vasakarista / Vasakasav,AY-181-A-007,Ayurvedic,Not Specified
ADLAB AYURVEDIC,Amlaki Rasayan,Liquid,Amalaki Rasayan,AY-181-A-008,Ayurvedic,Not Specified
ADLAB AYURVEDIC,Aravindasav,Liquid,Aravindasav,AY-181-A-009,Ayurvedic,Not Specified
ADLAB AYURVEDIC,Gondhak Molam,Ointment,Gandhakadi Malahar / Gandhak Malam,AY-181-A-010,Ayurvedic,Not Specified
ADLAB AYURVEDIC,Mohagni Batika,Tablet,Mahagni Bati,AY-181-A-011,Ayurvedic,Not Specified
ADLAB AYURVEDIC,Louhasav,Liquid,Louhasav,AY-181-A-012,Ayurvedic,Not Specified
ADLAB AYURVEDIC,Chandanasav,Liquid,Chandanasav,AY-181-A-013,Ayurvedic,Not Specified
ADLAB AYURVEDIC,Chyabanprash,Semi-Solid,Chyabanprash,AY-181-A-014,Ayurvedic,Not Specified
ADLAB AYURVEDIC,Raja Probartani,Tablet,Raja Prabartini Bati,AY-181-A-015,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Aritona,Liquid,Baladi Kwath,AY-102-A-004,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Akroferon,Liquid,Louhasav,AY-102-A-001,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Leucocide,Liquid,Darbadi Kwath,AY-102-A-005,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Akrovus,Liquid,Drakshadi Kwath,AY-102-A-002,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),A-Digest,Liquid,Mustakarista,AY-102-A-003,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),HP-500,Syrup,Bhimras,AY-102-A-039,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),A-Piles,Liquid,Abhayarista,AY-102-A-041,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Pedi Care,Syrup,Aravindasav,AY-102-A-040,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Alvasim,Syrup,Vasakarista / Vasakasav,AY-102-A-042,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Livadex,Syrup,Kalameghasav,AY-102-A-043,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Menocare,Liquid,Ashokarista,AY-102-A-007,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),A-Card,Liquid,Arjunarista,AY-102-A-006,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Sustagim,Liquid,Aswagandharista,AY-102-A-008,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Akrocid,Liquid,Amalaki Rasayan,AY-102-A-009,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),A-Alko,Liquid,Chandanasav,AY-102-A-010,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Amiton Plus,Liquid,Dasamularista,AY-102-A-011,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Patrangasav,Liquid,Patrangasav,AY-102-A-012,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Balauit,Liquid,Balarista,AY-102-A-013,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Skinil,Liquid,Saribadyarista,AY-102-A-014,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Heptagim,Liquid,Rohitakarista,AY-102-A-023,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Jambadyarista,Liquid,Jambadyarista,AY-102-A-024,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Amoneed,Liquid,Kutajarista,AY-102-A-025,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Memoton,Liquid,BrahmiRasayan / Sarswatarista,AY-102-A-026,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Rheumin,Tablet,Vat Gajangkus,AY-102-A-017,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Kamini Gold,Tablet,Kamini Vidravan Ras,AY-102-A-016,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Dysentgin,Tablet,Kutajaghana Bati/Kutaja Bati,AY-102-A-038,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),A-Tiger,Tablet,Vaskar Lavan,AY-102-A-037,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Gononil,Tablet,Brihat Bangeswar,AY-102-A-036,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Veginex,Tablet,Icchabhedi Ras,AY-102-A-035,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),A-Azmonil,Tablet,Swaskaschintamoni,AY-102-A-018,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Vigo-30,Tablet,Joubansatadal,AY-102-A-019,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Skinitol,Tablet,Manikya Ras,AY-102-A-020,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Amrocid,Tablet,Dhatri Louha,AY-102-A-020,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Leucofen,Tablet,Pradarantak Louha,AY-102-A-022,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Ratibilas,Capsule,Ratibilas Bati,AY-102-A-028,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Supradyn,Capsule,Mahasankha Bati,AY-102-A-029,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),X-P Silver,Capsule,Makardhwaj Rasayan,AY-102-A-030,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Diabe Care,Capsule,Bahu Mutrantak Ras,AY-102-A-031,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Ame-20,Capsule,Amlapittantak Ras,AY-102-A-032,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Silm-A,Capsule,Barabagni Louha,AY-102-A-033,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),M-R 20,Capsule,Raja Prabartini Bati,AY-102-A-034,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Behesti Kas Oil,Oil (Liquid),Himsagar Taila,AY-102-A-044,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),R.A. Care Oil,Oil (Liquid),Batrakhashi Taila,AY-102-A-045,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Vig Oil,Oil (Liquid),Shri Gopal Taila,AY-102-A-046,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Bronco Oil,Oil (Liquid),Basa Chandanadya Taila / Brihat Sarchandanadi Taila,AY-102-A-047,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Chyabanprash,Semi-Solid,Chyabanprash,AY-102-A-027,Ayurvedic,Not Specified
AKRAM LABORATORIES (AYURVEDIC),Semogin,Semi-Solid,Sukrasanjibani Modak,AY-102-A-015,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Green Tea,Syrup,Green Tea,AY-61-A-095,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Green Tea Powder Drink,Powder,Green Tea,AY-61-A-096,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Sriparni Taila,Oil (Liquid),Sriparni Taila,AY-61-A-097,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Thankuni,Capsule,Thankuni 500 mg,AY-61-A-098,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Himsagar Taila,Oil (Liquid),Himsagar Taila,AY-61-A-099,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Mahabhringaraj Taila,Oil (Liquid),Mahabhringaraj Taila,AY-61-A-100,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Laxmibilas Taila,Oil (Liquid),Laxmibilas Taila,AY-61-A-101,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Leconid,Liquid,Patrangasav,AY-61-A-001,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Dirox,Liquid,Kutajarista,AY-61-A-002,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Citral,Liquid,Chandanasav,AY-61-A-003,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Dicorex,Liquid,Vasakarista / Vasakasav,AY-61-A-004,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Ascorex,Liquid,Aswagandharista,AY-61-A-005,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Diaberex,Liquid,Jambadyarista,AY-61-A-006,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Lancer,Liquid,Saribadyarista,AY-61-A-007,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Belgin,Liquid,Mustakarista,AY-61-A-008,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Infenta,Liquid,Jirakadyarista / Jirakarista,AY-61-A-009,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Amtrax,Liquid,Prasarani Sandhan,AY-61-A-010,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Cardorex,Liquid,Arjunarista,AY-61-A-011,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Fevarex,Liquid,Amritarista,AY-61-A-012,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Mensozin,Liquid,Ashokarista,AY-61-A-013,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Harviton,Liquid,Balarista,AY-61-A-014,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Levonid,Liquid,Rohitakarista,AY-61-A-015,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Multirex,Liquid,Dasamularista,AY-61-A-016,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Amacid,Liquid,Amalaki Rasayan,AY-61-A-017,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Aksimin,Liquid,Maha Draksharista,AY-61-A-018,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Coldex,Semi-Solid,Chyabanprash,AY-61-A-019,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Fevacap,Capsule,Makardwaja,AY-61-A-020,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Venorex,Capsule,Sidha Makardwaja,AY-61-A-021,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Aksivit,Liquid,Upasam,AY-61-A-022,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Sanjiplex,Semi-Solid,Sukrasanjibani Modak,AY-61-A-024,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Iron Syrup,Liquid,Louhasav,AY-61-A-025,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Babin,Liquid,Aravindasav,AY-61-A-026,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Digetab,Tablet,Vaskar Lavan,AY-61-A-027,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Enzimax,Liquid,Jamani Arka,AY-61-A-028,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Amotrax,Liquid,Biranga Louha,AY-61-A-029,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Livasab,Liquid,Kalameghasav,AY-61-A-030,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),Aksitec,Capsule,Mahagni Bati,AY-61-A-031,Ayurvedic,Not Specified
AKSIM LABORATORIES (AYURVEDIC),H-Free,Capsule,Mahalaksmi Bilas (Shirorog),AY-61-A-032,Ayurvedic,Not Specified
