name_of_the_manufacturer,brand_name,dosages_description,generic_name_and_strength,dar,medicine_system,use_for
ADHUNIK LABORATORIES (UNANI),AD-Dinar,Liquid,Sharbat Deenar,U-42-A-012,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Apsil,Liquid,Sharbat Hazmina,U-42-A-007,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),AD-Ejaz,Liquid,Sharbat Ejaz,U-42-A-006,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Ruchita,Liquid,Sharbat Seb,U-42-A-010,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Hemonik,Liquid,Sharbat Faulad,U-42-A-013,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Dysnil,Liquid,Sharbat Belgiri,U-42-A-002,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Apzer,Liquid,Arq Nankha,U-42-A-009,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),AD-Mint,Liquid,Arq Poodina,U-42-A-014,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),AD-Sun,Liquid,Sharbat Santara,U-42-A-015,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Arq Ajeeb,Liquid,Arq Ajeeb,U-42-A-019,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Majoon Suparipak,Semi-Solid,Majoon Suparipak,U-42-A-016,Unani,Not Specified
ADHUNIK LABORATORIES (UNANI),Marham Ajeeb,Powder,Marham Ajeeb,U-42-A-008,Unani,Not Specified
ADORA LABORATORIES (UNANI),Qurs Muhazzil,Capsule,Qurs Muhazzil,U-166-A-037,Unani,Not Specified
ADORA LABORATORIES (UNANI),Qurs Ziabit,Tablet,Qurs Ziabit,U-166-A-038,Unani,Not Specified
ADORA LABORATORIES (UNANI),Qurs Pechish,Tablet,Qurs Pechish,U-166-A-039,Unani,Not Specified
ADORA LABORATORIES (UNANI),Habbe Tinkar,Capsule,Habb-e Tinkar,U-166-A-040,Unani,Not Specified
ADORA LABORATORIES (UNANI),Habbe Jalinoos,Capsule,Habb-e Jalinoos,U-166-A-041,Unani,Not Specified
ADORA LABORATORIES (UNANI),Sharbat Amla,Liquid,Sharbat Amla,U-166-A-042,Unani,Not Specified
ADORA LABORATORIES (UNANI),Sharbat Vasac,Liquid,Sharbat Vasac,U-166-A-043,Unani,Not Specified
ADORA LABORATORIES (UNANI),Majoon Dabeedul Ward,Semi-Solid,Majoon Dabeedul Ward,U-166-A-044,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adobid,Liquid,Sharbat Misali,U-166-A-017,Unani,Not Specified
ADORA LABORATORIES (UNANI),Doracal,Tablet,Kushta Khare Mohra,U-166-A-018,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adocare,Capsule,Habb-e Papita,U-166-A-019,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adomunis,Capsule,Habb-e Munish,U-166-A-020,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adozed,Tablet,Qurs Muqavvi Khas,U-166-A-021,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adojin,Liquid,Sharbat Jinsin,U-166-A-005,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adoseb,Liquid,Sharbat Seb,U-166-A-006,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adozim,Liquid,Arq Hazim,U-166-A-007,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adonisa,Liquid,Sharbat Nisa,U-166-A-008,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adomushki,Cream,Tila Mushki,U-166-A-009,Unani,Not Specified
ADORA LABORATORIES (UNANI),Satimulus,Capsule,Habb-e Nishat,U-166-A-010,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adojan,Capsule,Habb-e Suranjan,U-166-A-011,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adoreed,Capsule,Habb-e Marwareedi,U-166-A-012,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adofa,Capsule,Habb-e Shefa,U-166-A-014,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adobar,Capsule,Habb-e Ambar Momiyaee,U-166-A-013,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adodir,Tablet,Habb-e Mudir,U-166-A-015,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adoril,Tablet,Habb-e Muqil,U-166-A-016,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adosaffi,Liquid,Sharbat Musaffi,U-166-A-022,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adodim,Liquid,Sharbat Dimaghi,U-166-A-023,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adoton,Liquid,Sharbat Hayateen Murakkab,U-166-A-024,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adomina,Liquid,Arq Lahmina,U-166-A-025,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adonix,Capsule,Habb-e Mumsik,U-166-A-027,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adochirota,Capsule,Chirata,U-166-A-028,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adospirulina,Capsule,Spirulina,U-166-A-029,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adoginseng,Capsule,Ginseng,U-166-A-030,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adolex,Tablet,Habb-e Hayateen Murakkab Jawahirdar,U-166-A-031,Unani,Not Specified
ADORA LABORATORIES (UNANI),Murazin,Tablet,Habb-e Hayaeen Murakkab,U-166-A-032,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adomadar,Tablet,Habb-e Madar,U-166-A-033,Unani,Not Specified
ADORA LABORATORIES (UNANI),Sadacol,Tablet,Kushta Sadaf,U-166-A-034,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adonix,Semi-Solid,Khamira Gawzaban,U-166-A-035,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adogold,Semi-Solid,Majoon Arad-e Khurma,U-166-A-036,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adoamla,Oil (Liquid),Rowghan Amla,U-166-A-026,Unani,Not Specified
ADORA LABORATORIES (UNANI),Sharbat Sehat Afza,Liquid,Sharbat Sehat-Afza,U-166-A-045,Unani,Not Specified
ADORA LABORATORIES (UNANI),Sharbat Mavez,Liquid,Sharbat Mavez,U-166-A-046,Unani,Not Specified
ADORA LABORATORIES (UNANI),Isabgul Plane,Powder,Isabgul Plane,U-166-A-047,Unani,Not Specified
ADORA LABORATORIES (UNANI),Sufoof Himzin,Capsule,Sufoof Himzin,U-166-A-048,Unani,Not Specified
ADORA LABORATORIES (UNANI),Qurs Hazmol,Tablet,Qurs Hazmol,U-166-A-049,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adojaz,Liquid,Sharbat Ejaz,U-166-A-001,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adliv,Liquid,Sharbat Deenar,U-166-A-002,Unani,Not Specified
ADORA LABORATORIES (UNANI),Buzuri,Liquid,Sharbat Buzuri,U-166-A-003,Unani,Not Specified
ADORA LABORATORIES (UNANI),Adokha,Liquid,Arq Nankha,U-166-A-004,Unani,Not Specified
ADRON PHARMACEUTICAL (UNANI),Sharbar Bujuri,Liquid,Sharbat Buzuri,U-087-A-001,Unani,Not Specified
