name_of_the_manufacturer,brand_name,dosages_description,generic_name_and_strength,dar,medicine_system,use_for
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Clova Mouthwash,Mouth Wash,Clove (Liquid),038-031-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Blaksid,Soft Gelatin Capsule,Black Seed Oil,038-034-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Sinumate,Tablet,Common Sorrel Herb Extract (Rumex Acetosa) + Elderberry Flower Extract (Sambucus Nigra) + European Vervain Herb Extract (Verbena Officinalis) + Gentian Root Extract (gentiana Lutea) + Primrose Flower Extract (Primula Veris),038-035-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Ivycof,Syrup,IVY Leaf + Thyme dry extract,038-036-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Cozyten-50,Capsule,Coenzyme Q-10,038-037-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Cozyten-100,Soft Gelatin Capsule,Coenzyme Q-10,038-039-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Menopase,Capsule,Red Clover,038-039-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Pepelif,Capsule,Carica Papaya,038-040-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Pepelif,Syrup,Carica Papaya,038-041-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Joinflex-A,Capsule,Boswellia Serrata Extract + Undenatured Type II Collagen,038-042-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Hepmarin-70,Capsule,Milk Thistle,038-001-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Hepamarin-140,Capsule,Milk Thistle,038-002-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Arulina-500,Capsule,Spirulina,038-003-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Fibosyl Effervescent Powder,Effervescent Granules,Psyllium Husk,038-004-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Joinflex-40,Capsule,Native Type II Collagen,038-005-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Goodbac-3S,Capsule,Probiotic Blend,038-006-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Goodbac-SB,Capsule,Sacharomyces Boulardi,038-007-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Anseng-500,Capsule,Ginseng,038-008-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Ginkgo-B 60,Capsule,Ginkgo Biloba,038-009-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Ginkgo-B 120,Capsule,Ginkgo Biloba,038-010-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Primrole 500,Soft Gelatin Capsule,Evening Primrose Oil,038-011-94,Herbal,Not Specified
"ARISTOPHARMA LTD., (HERBAL DIVISION)",Primrole 1000 Softgel,Soft Gelatin Capsule,Evening Primrose Oil,038-012-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Enova-Q,Capsule,Coenzyme Q-10,016-005-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Gen-II,Capsule,Collagen II,016-006-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Chilagen,Capsule,Boswellia (Aflapin) + Chicken Collagen Type II,016-007-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Linomarin,Capsule,Silymarin,016-008-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Tin-A,Capsule,Biotin,016-009-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Glubery,Capsule,Bilberry Fruits,016-010-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Vigojoy,Capsule,Pausinystalia Yohimbe,016-011-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Dysmonil,Capsule,Black Cohosh,016-012-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Migrocare,Capsule,Saw Palmetto,016-013-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Allrex-H,Capsule,Probiotics,016-014-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Flexy-V,Capsule,Valerian,016-015-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Quvit-7,Capsule,Menaquinone,016-016-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Calpain-F,Capsule,Red Clover,016-017-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Femisterol,Capsule,Muira Puama,016-018-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Spirulina,Capsule,Spirulina,016-0004-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),St.Jhon Worot,Capsule,St. John's Wort,016-0003-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Ginkgo 60 mg,Capsule,Ginkgo,016-0002-94,Herbal,Not Specified
ASHOKA LABORATORIES (HERBAL),Ginseng,Capsule,Ginseng,016-0001-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Primosa,Capsule,Evening Primrose Oil,005-004-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Dream,Capsule,St. John's Wort,005-005-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Dozy,Capsule,Melatonin,005-006-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Labtic,Capsule,Bifidobacterium Lactis + Lactobacillus Acidophillus,005-007-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Gitog,Capsule,Fenugreek Extract,005-008-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Utiflow,Capsule,Copper Gluconate + Ginseng + Pygeum bark + Saw Palmetto + Zinc Sulphate,005-009-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Genstyle,Capsule,Mucuna Pruriens,005-010-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Shetach,Capsule,Dongque,005-011-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,N-Sweeter,Tablet,Stevia,005-012-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,ZQ-10,Tablet,Coenzyme Q-10,005-013-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Calsiforte,Tablet,Avena Sativa,005-014-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,DMT,Tablet,Folium Cynarae,005-015-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Reactive,Tablet,Silymarin,005-016-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Sagitach,Tablet,Sage (Salvia Officinalis),005-017-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Giolife,Liquid,Ashwagandha + Asparagus + Berela + Bidari Kondo,005-018-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Realme,Liquid,Basak,005-019-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Kido-Active,Powder,Bifidobacterium bifidum + Fructo-Oligosaccharide,005-020-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Laxodone,Powder,Ispaghula Husk + Senna,005-021-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Omefiol-3,Capsule,Omega 3 Fish Oil,005-022-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Biovital-1000,Tablet,Biotin,005-023-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Egion,Tablet,Collagen II,005-024-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Inferty,Tablet,Myo Inositol + Vitex Eagnus Extract,005-025-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Flufix,Liquid,IVY Leaf + Thyme dry extract,005-026-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,CalV-D7,Tablet,Calcium Carbonate 30 + Menaquinone + Vitamin D3,005-027-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Valugin 500 mg,Capsule,Ginseng,005-0001-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Memory Plus 60 mg,Capsule,Ginkgo,005-0002-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Vita Green 500 mg,Capsule,Spirulina,005-0003-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,CalV-D7,Tablet,Elemental Calcium + Vitamin D3 + Vitamin K2 (Menaquinone-7,005-027-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Hyrotach,Capsule,Boswellia Serrata Extract + Hyaluronic Acid + Methyl Sulfonyl Methane (MSM) Powder + Turmeric Extract + Undenatured Type II Collagen,005-028-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,AT-Biotic,Powder,Lactobacillus Rhamnosus,005-029-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Ginkgo-Tach,Capsule,Bacopa Monnieri + Ginkgo Biloba + Lecithin,005-030-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Flexen Plus,Tablet,Coenzyme Q-10 + Collagen (Marine Fish Collagen Tripeptide) + Glycine + L-Arginine + Vitamin C (L-Ascorbic Acid) + Vitamin E (Dl-alpha-tocopheryl acetate),005-031-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,FloBiotic,Capsule,Bifidobacterium Animals + Bifidobacterium bifidum + Bifidobacterium Longum + Lactobabacillus Plantarum + Lactobacillus Acidophillus + Lactobacillus Casei + lactobacillus Reuteri + Lactobacillus Rhamnosus,005-032-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,AlphaTach,Capsule,Alpha Lipoic Acid,005-033-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,GlucoTach,Capsule,Chondroitin Sulfate + Collagen II + Glucosamine Sulfate Potassium Chloride,005-034-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Fairgain,Capsule,Biotin (D-Biotin) + Copper Gluconate + Horsetail Herbs extract + Iron Gluconate + L-Arginine + L-Cystine + L-Methionine + Magnesium Oxide + Vitamin B2 (Riboflavin) + Vitamin B3 (Niacin) + Vitamin B5 (D Pntothenate Calcium) + Vitamin B6 (Pyridixine Hydroch,005-035-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Livergain,Tablet,Silymarin,005-036-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Urotach,Capsule,Cranberry Fruit Extract + Lycopene (From Natural Tomato Extract) + Pygeum bark + Saw Palmetto + Uva-ursi/Bearberry,005-037-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Green-gold,Tablet,Spirulina,005-038-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,DigiGaurd,Capsule,Bifidobacterium Lactis + Lactobacillus Acidophillus + Lactobacillus Rhamnosus,005-039-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,AT-Biotin,Tablet,Biotin,005-040-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Yogut,Powder,Bifidobacterium Infants + Bifidobacterium Lactis + Streptococcus Thermoophiles Premix,005-041-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Q-7,Tablet,Menaquinone,005-042-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,OrthoMax,Tablet,Boron + Boswellia Serrata Extract + Glucosamine Sulfate Potassium Chloride + Undenatured Type II Collagen,005-043-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,NutriFlora,Capsule,Lactobacillus rhamnosus GR-1 and Lactobacillus reuteri RC-14 blend,005-045-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Femo-Cyst,Capsule,D Chiro Inositol (Carob),005-046-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Lacto-Bact,Capsule,Bifidobacterium Lactis (Bi-04) + Bifidobacterium Lactis (Bi-07) + Lactobacillus acidophillus (NCFM) + Lactobacillus Paracasei (Lpc-37),005-047-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Ginovest 60,Capsule,Ginkgo Biloba + Panax Ginseng,005-049-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,F-Cut,Capsule,Alpha Cyclodextrin (Zea mays),005-050-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Pynogel,Capsule,French Maritime Pine Bark Extract,005-051-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Alltach-N,Capsule,Moringa Leaf Powder,005-052-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Fair-Fast,Capsule,L-Glutathione,005-053-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Hylofast,Capsule,Hyaluronic Acid,005-054-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Isolux,Capsule,Bilva,005-055-94,Herbal,Not Specified
ATTACH HERBAL & NEUTRACEUTICALS,Easy-Lax,Powder,Banorhati/Sonali (Cassia fistula) + Haritaki + Isabgul Plane + Jashthi Madhu + Mouri (foeniculum Vulgare) + Sonapata,005-056-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Bio-Flex,Tablet,Collagen II,020-079-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Lacidofil,Capsule,Inulin + Lactobacillus Helveticus,020-080-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Ginkgobil,Capsule,Ginkgo Biloba + Panax Ginseng,020-081-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Biosolve,Capsule,Bifidobacterium Lactis + Lactobacillus Acidophillus + Lactobacillus Paracasei,020-082-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Optibex,Capsule,Bifidobacterium Lactis + Lactobacillus Acidophillus,020-083-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Biotino-5000,Tablet,Biotin,020-084-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Glutamin,Capsule,L-Glutathione,020-085-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Alpha-JR,Capsule,Alpha Lipoic Acid,020-086-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Xtend,Powder,Whey Protein Powder,020-087-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),RE-Lax,Powder,Ispaghula Husk + Senna,020-055-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Dulcolax,Powder,Ispaghula Husk,020-054-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Lytox,Capsule,Chamomila,020-069-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Fertilbex,Tablet,Fructus Agni Casti,020-070-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Vital Fort,Capsule,Parsley,020-071-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Bcare-CD,Tablet,Cortex Salicis,020-072-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Irotab-Z,Tablet,Folium Cynarae,020-073-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),EasyBio,Capsule,Bifidobacterium Animals + Bifidobacterium bifidum + Lactobacillus Acidophillus + Lactobacillus Rhamnosus,020-074-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),LV Tone,Tablet,Spirulina,020-075-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Acnobex,Capsule,Pearlium,020-076-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Yobex,Capsule,Pausinystalia Yohimbe,020-077-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Maxidus,Syrup,IVY Leaf + Thyme dry extract,020-078-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Tru-Biotic,Capsule,lactobacillus Reuteri,020-057-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Biotic-Plus,Capsule,Bifidobacterium Lactis + Lactobacillus Acidophillus,020-058-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),PB-8,Capsule,Lactobacillus rhamnosus GR-1 and Lactobacillus reuteri RC-14 blend,020-059-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Bio-K+,Powder,Fructo-Oligosaccharide + Lactobacillus Acidophillus,020-060-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Nibiotic,Powder,Bifidobacterium bifidum + Fructo-Oligosaccharide,020-061-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),VI Bact,Capsule,Bifidobacterium Animals + Bifidobacterium bifidum + Bifidobacterium Longum + Lactobabacillus Plantarum + Lactobacillus Acidophillus + Lactobacillus Casei + lactobacillus Reuteri + Lactobacillus Rhamnosus,020-062-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Ostopar-3,Tablet,Curcuminoids,020-063-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Promocal-D6,Tablet,Chicken Sternume Extract + Colchicum Autumnale,020-064-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Bio-X4,Tablet,Biotin,020-065-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Sprembex,Capsule,Mucuna Pruriens,020-066-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Mindcap,Capsule,Ginkgo Biloba,020-067-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Vicon-R,Capsule,Muira Puama,020-068-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Adofex,Syrup,Adhatoda Vasica,020-009-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Oxymax,Capsule,Withania Somnifera,020-010-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Biobex,Capsule,Bifidobacterium bifidum + Fructo-Oligosaccharide + Lactobacillus Acidophillus + Lactobacillus Bulgaricus,020-011-94,Herbal,Not Specified
BEXTER HERBAL & NUTRACEUTICALS (HERBAL),Curebex,Capsule,Echinacea,020-012-94,Herbal,Not Specified
