name_of_the_manufacturer,brand_name,dosages_description,generic_name_and_strength,dar,medicine_system,use_for
ANNEX PHARMACEUTICALS (HOMOEOPATHIC),Calendula Officinalis,Liquid,Not Specified,H-9-A-4,Homeopathic,Not Specified
ANNEX PHARMACEUTICALS (HOMOEOPATHIC),Nux Vomica,Liquid,Not Specified,H-9-A-5,Homeopathic,Not Specified
ANNEX PHARMACEUTICALS (HOMOEOPATHIC),Senna,Liquid,Not Specified,H-9-A-6,Homeopathic,Not Specified
ANNEX PHARMACEUTICALS (HOMOEOPATHIC),Terminalia Arjuna,Liquid,Not Specified,H-9-A-7,Homeopathic,Not Specified
ANNEX PHARMACEUTICALS (HOMOEOPATHIC),Aconite Napellus,Liquid,Not Specified,H-9-A-8,Homeopathic,Not Specified
BANGLADESH HOMOEO RESEARCH LABORATORY,Nux Vomica-Q,Liquid,Not Specified,H-39-A-1,Homeopathic,Not Specified
BANGLADESH HOMOEO RESEARCH LABORATORY,Pulsatilla -Q,Liquid,Not Specified,H-39-A-2,Homeopathic,Not Specified
BANGLADESH HOMOEO RESEARCH LABORATORY,Aconite Napellus-Q,Liquid,Not Specified,H-39-A-3,Homeopathic,Not Specified
BANGLADESH HOMOEO RESEARCH LABORATORY,Terminalia Arjuna-Q,Liquid,Not Specified,H-39-A-4,Homeopathic,Not Specified
BANGLADESH HOMOEO RESEARCH LABORATORY,Syzygium Jambolanum-Q,Liquid,Not Specified,H-39-A-5,Homeopathic,Not Specified
BANGLADESH HOMOEO RESEARCH LABORATORY,Hydratis Canadensis-Q,Liquid,Not Specified,H-39-A-6,Homeopathic,Not Specified
BANGLADESH HOMOEO RESEARCH LABORATORY,Cina,Liquid,Not Specified,H-39-A-7,Homeopathic,Not Specified
BANGLADESH HOMOEO RESEARCH LABORATORY,Justicia Adhatoda,Liquid,Not Specified,H-39-A-8,Homeopathic,Not Specified
BANGLADESH HOMOEO RESEARCH LABORATORY,Cantharis-Q,Liquid,Not Specified,H-39-A-9,Homeopathic,Not Specified
BANGLADESH HOMOEO RESEARCH LABORATORY,Kalmegh,Liquid,Not Specified,H-39-A-10,Homeopathic,Not Specified
BANGLADESH HOMOEO RESEARCH LABORATORY,China,Liquid,Chinchona Officinalis  China,H-39-A-11,Homeopathic,Not Specified
BANGLADESH HOMOEO RESEARCH LABORATORY,Avena Sativa-Q,Liquid,Not Specified,H-39-A-12,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Apis Mellifica,Liquid,Not Specified,H-40-A-3,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Agnus Castus,Liquid,Not Specified,H-40-A-4,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Damiana,Liquid,Not Specified,H-40-A-5,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Thuja Occidentalis,Liquid,Not Specified,H-40-A-6,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Berberis Vulgaris,Liquid,Not Specified,H-40-A-7,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Bapistia Tinctoria,Liquid,Not Specified,H-40-A-8,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Hydrastis Canadensis,Liquid,Not Specified,H-40-A-9,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Andrographis Paniculata,Liquid,Andrographis Paniculata,H-40-A-10,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Kreosotium,Liquid,Not Specified,H-40-A-11,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Colocynthis,Liquid,Not Specified,H-40-A-12,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Syzygium Jamblanum,Liquid,Not Specified,H-40-A-13,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Atista Indica,Liquid,Not Specified,H-40-A-14,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Janosia Asoka,Liquid,Not Specified,H-40-A-15,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Aconitum Napellus,Liquid,Not Specified,H-40-A-16,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Terminalia Arjuna,Liquid,Not Specified,H-40-A-17,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Arnica Montana,Liquid,Not Specified,H-40-A-18,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Bryonia Alb,Liquid,Not Specified,H-40-A-19,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Avena Sativa,Liquid,Not Specified,H-40-A-20,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Pulsatilla Nigricans,Liquid,Not Specified,H-40-A-21,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Cina,Liquid,Not Specified,H-40-A-22,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,China Off,Liquid,Chinchona Officinalis  China,H-40-A-23,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Ocimum Sanctum,Liquid,Not Specified,H-40-A-24,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Calendula Offcinalis,Liquid,Not Specified,H-40-A-25,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Secale Cornutum,Liquid,Not Specified,H-40-A-26,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Abroma Augusta,Liquid,Not Specified,H-40-A-27,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Nux Vomica,Liquid,Not Specified,H-40-A-28,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Belladonna,Liquid,Not Specified,H-40-A-29,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Gelsemium Sempervirens,Liquid,Gelsemium Sempervirens,H-40-A-30,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Crataegus Oxyacantha,Liquid,Not Specified,H-40-A-31,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Chelidonium Majus,Liquid,Not Specified,H-40-A-33,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Justicia Adhatoda,Liquid,Not Specified,H-40-A-34,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Abroma Radix,Liquid,Not Specified,H-40-A-35,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Carica Papaya,Liquid,Not Specified,H-40-A-36,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Kali Phosphoricum,Tablet,Kali Phosphoricum,H-40-A-38,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Atista Radex,Liquid,Not Specified,H-40-A-37,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Kali Muriaticum,Tablet,Kali Muriaticum,H-40-A-39,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Ferrum Phosphoricum,Tablet,Ferrum Phosphoricum,H-40-A-40,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Calcaria Flouricum,Liquid,Calcarea Fluorica,H-40-A-41,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Calcaria Phosphoricum,Tablet,Calcarea Phosphorica,H-40-A-42,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Magnesia Phosphoricum,Tablet,Magnesia Phosphorica,H-40-A-43,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Kali Sulphurica,Tablet,Kali Sulphuricum,H-40-A-44,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Calcaria Sylphuricum,Tablet,Calcarea Sulphurica,H-40-A-45,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Silicea,Tablet,Silicea,H-40-A-46,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Natrum Sulphuricum,Tablet,Natrum Sulphuricum,H-40-A-47,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Natrum Phosphoricum,Tablet,Natrum Phosphoricum,H-40-A-48,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Natrum Muriaticum,Tablet,Natrum Muriaticum,H-40-A-49,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Gestozime,Liquid,Anacardium 4X + Arsenicum Alb 5X + Calarium 1X + Leonurus Cardiaca 1X + Nux Vomica 3X,H-25-A-21,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,B-Tulshi,Syrup,Not Specified,H-25-A-22,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Baby Like,Syrup,Avena Sat 4X + Calcium Carbonate 30 + Carica pap 4X + Chamomilla 4X + Cinamon 3X + Illicum Anisatum 4X + Zingiber off 6X,H-25-A-23,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,B-Basak,Syrup,Not Specified,H-25-A-27,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,B-Ambra Plus,Tablet,Acidum Phosphoricum-4X + Agnus Cast 4X + Cinchona Off 4X + Conium 4X + Damiana 4X + Embra Gresia-4X + Moschus 4X + Nux Vom 4X + Sabal Ser 4X + Yohimbinum 4X,H-25-A-28,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Dygime,Syrup,Not Specified,H-25-A-29,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Livoma,Drops,Andrographis Peniculata-18X + Baptisia + Bita Vulj-6 + Carduus Mar. 4x + Chelidonium-2X + Cianothus-3X + Echinacea Purf 3X,H-25-A-30,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Branolia,Drops,Coffea 5x + Ignatia 30x + Passiflora 2x + Phosphorus 12x + Piper Meth. 3x,H-25-A-32,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Lucona,Syrup,Not Specified,H-25-A-34,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,F-Phos,Syrup,Alfalfa 1X + Cal Phos 8X + Cinchona off 2X + Ferrum Phos 8X + formic Acid 3X + Hydrastis Can 2X + Kali Phos 6X + Mag Phos 8X + Nat Phos 6X,H-25-A-36,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Alfalin,Syrup,Not Specified,H-25-A-37,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,B-Blood Vitine,Syrup,Acid Formic 5X + Acid Tart 4X + Cobalt Nit 5X + Cuprum Aset 5X + Ferrum Phos 8X + Magnesium Borocit-5X + Manganum Acet 5X + Zinc Sulphate 5X,H-25-A-33,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Puls-B Tablet,Tablet,Cal Phos 3X + Calcaria Fluorica 3X + Kali Phos 3X + Magnesia Phosphoricum 3X,H-25-A-38,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Liocorina,Tablet,Alumina 6C + Borax 6C + Creosptum 6X + Pulsatilla 6X + Sepia 6C,H-25-A-39,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Ginseng,Drops,Not Specified,H-25-A-31,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Shidha Molom,Ointment,Not Specified,H-25-A-24,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Calotropis Gigentea,Liquid,Not Specified,H-25-A-1,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Acalypha Indica,Liquid,Not Specified,H-25-A-4,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Asvagandha,Liquid,Not Specified,H-25-A-10,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Verbascum Thaspsus (Mullein),Liquid,Verbascum Thapsus,H-25-A-11,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Euphrasia Officinalis,Liquid,Not Specified,H-25-A-15,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Medicago Sativa,Liquid,Not Specified,H-25-A-16,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Andrographis Peniculata,Liquid,Not Specified,H-25-A-18,Homeopathic,Not Specified
BENGAL HOMOEO LABORATORY,Holarhena Antidysentryca,Liquid,Not Specified,H-25-A-19,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Plantago Major,Liquid,Not Specified,H-40-A-1,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Ipecacuanha,Liquid,Not Specified,H-40-A-2,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Apis Mellifica,Liquid,Not Specified,H-40-A-3,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Agnus Castus,Liquid,Not Specified,H-40-A-4,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Damiana,Liquid,Not Specified,H-40-A-5,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Thuja Occidentalis,Liquid,Not Specified,H-40-A-6,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Berberis Vulgaris,Liquid,Not Specified,H-40-A-7,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Baptisia Tinctoria,Liquid,Not Specified,H-40-A-8,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Hydrastis Canadensis,Liquid,Not Specified,H-40-A-9,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Andrographis Paniculata,Liquid,Andrographis Paniculata,H-40-A-10,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Kreosotium,Liquid,Not Specified,H-40-A-11,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Colocynthis,Liquid,Not Specified,H-40-A-12,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Syzygium Jambolanum,Liquid,Not Specified,H-40-A-13,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Atista Indica,Liquid,Not Specified,H-40-A-14,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Jonosia Ashoka,Liquid,Not Specified,H-40-A-15,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Aconite Napellus,Liquid,Not Specified,H-40-A-16,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Terminalia Arjuna,Liquid,Not Specified,H-40-A-17,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Arnica Montana,Liquid,Not Specified,H-40-A-18,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Bryonia Alba,Liquid,Not Specified,H-40-A-19,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Avena Sativa,Liquid,Not Specified,H-40-A-20,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Pulsatilla Nigricans,Liquid,Not Specified,H-40-A-21,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Cina,Liquid,Not Specified,H-40-A-22,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Chinchona Officinalis,Liquid,Chinchona Officinalis  China,H-40-A-23,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Ocimum Sanctum,Liquid,Not Specified,H-40-A-24,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Calendula Offcinalis,Liquid,Not Specified,H-40-A-25,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Secale Cornutum,Liquid,Not Specified,H-40-A-26,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Abroma Augusta,Liquid,Not Specified,H-40-A-27,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Nux Vomica,Liquid,Not Specified,H-40-A-28,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Belladonna,Liquid,Not Specified,H-40-A-29,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Gelsemium Sempervirens,Liquid,Gelsemium Sempervirens,H-40-A-30,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Carataegus Oxyacantha,Liquid,Carataegus Oxyacantha,H-40-A-31,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Cantharis,Liquid,Not Specified,H-40-A-32,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Chelidonium Majus,Liquid,Not Specified,H-40-A-33,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Justicia Adhatoda,Liquid,Not Specified,H-40-A-34,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Abroma Radix,Liquid,Not Specified,H-40-A-35,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Carica Papaya,Liquid,Not Specified,H-40-A-36,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Atista Radix,Liquid,Not Specified,H-40-A-37,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Kali Phosphoricum,Tablet,Kali Phosphoricum,H-40-A-38,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Kali Muriaticum,Tablet,Kali Muriaticum,H-40-A-39,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Ferrum Phosphoricum,Tablet,Ferrum Phosphoricum,H-40-A-40,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Calcarea Fluoricum,Tablet,Calcarea Fluorica,H-40-A-41,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Calcarea Phosphirica,Tablet,Calcarea Phosphorica,H-40-A-42,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Magnesium Phosphoricum,Tablet,Magnesium Phosphoricum,H-40-A-43,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Kali Sulphuricum,Tablet,Kali Sulphuricum,H-40-A-44,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Calcarea Sulphurica,Tablet,Calcarea Sulphurica,H-40-A-45,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Silicea,Tablet,Silicea,H-40-A-46,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Natrum Sulphuricum,Tablet,Natrum Sulphuricum,H-40-A-47,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Natrum Phosphoricum,Tablet,Natrum Phosphoricum,H-40-A-48,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Natrum Mauriaticum,Tablet,Natrum Muriaticum,H-40-A-49,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Alfalfa,Liquid,Medicago Sativa,H-40-A-50,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Withania Somnifera,Liquid,Ashwagandha,H-40-A-51,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Aralia Racemosa,Liquid,Not Specified,H-40-A-52,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Berberis Aquifolium,Liquid,Not Specified,H-40-A-53,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Caladium Seguinum,Liquid,Not Specified,H-40-A-54,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Drosera Rotundifolia,Liquid,Not Specified,H-40-A-55,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Dioscorea Villose,Liquid,Not Specified,H-40-A-56,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Echinacea Angustifolia,Liquid,Echinacea Angustifolia,H-40-A-57,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Eriodictyon Glutinosum,Liquid,Eriodictyon Glutinosum,H-40-A-58,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Carduus Marianus,Liquid,Not Specified,H-40-A-59,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Caulophyllum Thalictroides,Liquid,Not Specified,H-40-A-60,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Ceanothus Americanus,Liquid,Ceanothus Americanus,H-40-A-61,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Chamomilla,Liquid,Not Specified,H-40-A-62,Homeopathic,Not Specified
BENGAL HOMOEOPATHIC LABORATORY,Chionanthus Virginica,Liquid,Not Specified,H-40-A-63,Homeopathic,Not Specified
